name	chrom	txStart	txEnd	name2	Duplicate
NM_020710	chr1	3696783	3713068	LRRC47	0
NM_014704	chr1	3728644	3773797	CEP104	0
NR_104222	chr1	3773830	3801993	DFFB	0
NM_207356	chr1	3805696	3816857	C1orf174	0
NR_024455	chr1	3816967	3832011	LINC01134	0
NR_040065	chr1	4000671	4012643	LOC728716	0
NR_027088	chr1	4472110	4484744	LOC284661	0
NM_001042478	chr1	4715104	4837854	AJAP1	0
NR_039612	chr1	5624130	5624203	MIR4417	0
NR_039838	chr1	5922731	5922801	MIR4689	0
NM_001291593	chr1	5922867	6052533	NPHP4	0
NM_003636	chr1	6086072	6161253	KCNAB2	0
NM_015557	chr1	6161846	6240194	CHD5	0
NM_000983	chr1	6245079	6259679	RPL22	0
NM_207396	chr1	6266188	6281359	RNF207	0
NM_012405	chr1	6281252	6296044	ICMT	0
NR_103534	chr1	6296299	6299502	LINC00337	0
NM_001024598	chr1	6304251	6305638	HES3	0
NM_207370	chr1	6307405	6321035	GPR153	0
NM_181865	chr1	6324331	6420764	ACOT7	0
NM_019089	chr1	6475293	6479979	HES2	0
NM_031475	chr1	6484847	6521004	ESPN	0
NR_036218	chr1	6489893	6489956	MIR4252	0
NM_148965	chr1	6521213	6526255	TNFRSF25	0
NM_001265593	chr1	6526151	6545529	PLEKHG5	0
NM_024654	chr1	6581406	6614658	NOL9	0
NM_177540	chr1	6615337	6639817	TAS1R1	0
NM_001278647	chr1	6640050	6649340	ZBTB48	0
NM_014851	chr1	6650783	6662929	KLHL21	0
NM_153812	chr1	6673755	6684093	PHF13	0
NM_138350	chr1	6685209	6695646	THAP3	0
NM_018198	chr1	6694227	6761966	DNAJC11	0
NR_104620	chr1	6784804	6790072	LOC100505887	0
NM_001195563	chr1	6845383	6932107	CAMTA1	0
NM_004781	chr1	7831328	7841492	VAMP3	0
NM_016831	chr1	7844488	7905240	PER3	0
NM_006786	chr1	7907671	7913104	UTS2	0
NM_001561	chr1	7975930	8003225	TNFRSF9	0
NM_007262	chr1	8021713	8045342	PARK7	0
NM_018948	chr1	8071778	8086393	ERRFI1	0
NM_001080397	chr1	8378144	8404227	SLC45A1	0
NM_001042682	chr1	8412463	8483747	RERE	0
NM_001201483	chr1	8921058	8931635	ENO1	0
NR_106786	chr1	8926560	8926649	MIR6728	0
NR_038351	chr1	8938893	8939943	ENO1-AS1	0
NM_001215	chr1	9005892	9035148	CA6	0
NM_207420	chr1	9063358	9086404	SLC2A7	0
NM_003039	chr1	9097004	9129887	SLC2A5	0
NM_024980	chr1	9164475	9189229	GPR157	0
NR_029610	chr1	9211726	9211836	MIR34A	0
NM_004285	chr1	9294862	9331394	H6PD	0
NM_025106	chr1	9352940	9429590	SPSB1	0
NR_104622	chr1	9485152	9489055	LOC100506022	0
NM_032315	chr1	9599527	9642831	SLC25A33	0
NM_001130924	chr1	9648931	9674935	TMEM201	0
NM_005026	chr1	9711789	9789172	PIK3CD	0
NR_027045	chr1	9712667	9714644	C1orf200	0
NM_014944	chr1	9789078	9884550	CLSTN1	0
NM_020248	chr1	9908333	9970316	CTNNBIP1	0
NM_032368	chr1	9989775	10002826	LZIC	0
NM_022787	chr1	10003485	10045556	NMNAT1	0
NM_052960	chr1	10057254	10076078	RBP7	0
NM_001105562	chr1	10093040	10241296	UBE4B	0
NM_015074	chr1	10270763	10441661	KIF1B	0
NM_002631	chr1	10459084	10480201	PGD	0
NM_001270517	chr1	10490158	10512060	APITD1-CORT	0
NR_036462	chr1	10490803	10502872	APITD1	0
NM_001302	chr1	10509775	10512060	CORT	0
NM_213566	chr1	10520602	10532613	DFFA	0
NM_004565	chr1	10535002	10690815	PEX14	0
NM_001079843	chr1	10696665	10856733	CASZ1	0
NM_001170754	chr1	11006529	11042094	C1orf127	0
NM_007375	chr1	11072678	11085549	TARDBP	0
NM_139208	chr1	11104854	11107296	MASP2	0
NM_003132	chr1	11114648	11120091	SRM	0
NM_001001998	chr1	11126675	11159938	EXOSC10	0
NM_004958	chr1	11166587	11322608	MTOR	0
NR_046600	chr1	11203954	11209595	MTOR-AS1	0
NM_021146	chr1	11249345	11256038	ANGPTL7	0
NM_013319	chr1	11333254	11348491	UBIAD1	0
NM_020780	chr1	11539294	11597640	PTCHD2	0
NR_104624	chr1	11669587	11673411	LOC101929181	0
NM_012168	chr1	11708417	11714888	FBXO2	0
NM_033182	chr1	11714913	11723384	FBXO44	0
NM_018438	chr1	11724149	11734409	FBXO6	0
NM_001127325	chr1	11734536	11751678	MAD2L2	0
NM_198545	chr1	11751780	11780336	DRAXIN	0
NM_001040195	chr1	11796141	11810828	AGTRAP	0
NM_001010881	chr1	11822249	11849642	C1orf167	0
NM_005957	chr1	11845786	11866160	MTHFR	0
NM_001286	chr1	11866152	11903201	CLCN6	0
NR_037806	chr1	11900375	11907673	NPPA-AS1	0
NM_006172	chr1	11905766	11907840	NPPA	0
NM_002521	chr1	11917520	11918992	NPPB	0
NM_138346	chr1	11979644	11986485	KIAA2013	0
NM_000302	chr1	11994723	12035599	PLOD1	0
NM_014874	chr1	12040237	12073572	MFN2	0
NM_021933	chr1	12079298	12092106	MIIP	0
NR_106787	chr1	12089214	12089279	MIR6729	0
NM_001243	chr1	12123433	12204264	TNFRSF8	0
NR_107000	chr1	12226999	12227095	MIR7846	0
NM_001066	chr1	12227059	12269277	TNFRSF1B	0
NR_039775	chr1	12251769	12251830	MIR4632	0
NM_015378	chr1	12290112	12572098	VPS13D	0
NM_004753	chr1	12627938	12677737	DHRS3	0
NR_106788	chr1	12638984	12639051	MIR6730	0
NM_001013630	chr1	12704565	12727097	AADACL4	0
NR_111984	chr1	12776117	12788726	AADACL3	0
NM_152290	chr1	12806133	12821102	C1orf158	0
NM_001080830	chr1	12834990	12838048	PRAMEF12	0
NM_023013	chr1	12851545	12856777	PRAMEF1	0
NM_001146344	chr1	12884617	12891264	PRAMEF11	0
NM_001146181	chr1	12907235	12908237	LOC649330	0
NM_001013631	chr1	12907260	12908578	HNRNPCL1	0
NM_023014	chr1	12916940	12921764	PRAMEF2	0
NM_001009611	chr1	12939032	12946025	PRAMEF4	0
NM_001010890	chr1	12998504	13002353	PRAMEF9	0
NM_001099850	chr1	13035498	13039011	LOC391003	0
NM_001136561	chr1	13182959	13184326	HNRNPCP5	0
NR_111945	chr1	13194517	13199727	LOC645354	0
NR_111947	chr1	13194517	13199727	LOC649324	0
NM_001013692	chr1	13328195	13331692	PRAMEF3	0
NM_001100631	chr1	13328832	13331671	PRAMEF22	0
NM_001013407	chr1	13359818	13369057	PRAMEF5	0
NM_001010889	chr1	13359832	13368936	PRAMEF6	0
NM_001282323	chr1	13364890	13368733	PRAMEF23	0
NM_001039361	chr1	13409127	13414502	PRAMEF10	0
NM_001291381	chr1	13409134	13414502	LOC645382	0
NM_001045480	chr1	13495253	13498259	PRAMEF16	0
NM_001012277	chr1	13607699	13611533	PRAMEF7	0
NM_001012276	chr1	13607699	13611533	PRAMEF8	0
NM_001098376	chr1	13641972	13648987	PRAMEF15	0
NM_001291380	chr1	13668268	13673511	LOC400736	0
NM_001024661	chr1	13668268	13673511	PRAMEF14	0
NM_001099790	chr1	13694888	13698405	PRAMEF19	0
NM_001099851	chr1	13716091	13719089	PRAMEF17	0
NM_001099852	chr1	13736906	13747803	PRAMEF20	0
NM_001100114	chr1	13742801	13747803	PRAMEF21	0
NM_001010847	chr1	13801444	13840242	LRRC38	0
NM_001006624	chr1	13911966	13944452	PDPN	0
NM_001007257	chr1	14075875	14114574	PRDM2	0
NM_001018000	chr1	15250624	15394651	KAZN	0
NR_027136	chr1	15438310	15478960	TMEM51-AS1	0
NM_018022	chr1	15480228	15546974	TMEM51	0
NM_001278502	chr1	15490691	15498120	C1orf195	0
NM_052929	chr1	15573767	15724622	FHAD1	0
NM_024329	chr1	15736390	15756839	EFHD2	0
NM_007272	chr1	15764937	15773153	CTRC	0
NM_033440	chr1	15783222	15798586	CELA2A	0
NM_015849	chr1	15802595	15817895	CELA2B	0
NR_102733	chr1	15817895	15850940	CASP9	0
NR_109898	chr1	15853307	15898228	DNAJC16	0
NM_024758	chr1	15898193	15911605	AGMAT	0
NM_032341	chr1	15943952	15987552	DDI2	0
NM_006511	chr1	15986363	15988217	RSC1A1	0
NM_015164	chr1	16010826	16061264	PLEKHM2	0
NM_207348	chr1	16062808	16067884	SLC25A34	0
NM_001013641	chr1	16068986	16074292	TMEM82	0
NM_001024215	chr1	16090993	16101715	FBLIM1	0
NM_001089591	chr1	16133656	16134194	UQCRHL	0
NR_024279	chr1	16160709	16174642	FLJ37453	0
NM_015001	chr1	16174358	16266950	SPEN	0
NM_001287603	chr1	16268363	16302627	ZBTB17	0
NM_178840	chr1	16330730	16333184	C1orf64	0
NM_014424	chr1	16340522	16345285	HSPB7	0
NM_001042704	chr1	16348485	16360545	CLCNKA	0
NM_000085	chr1	16370230	16383821	CLCNKB	0
NM_182623	chr1	16384263	16400127	FAM131C	0
NM_004431	chr1	16450831	16482582	EPHA2	0
NM_153213	chr1	16524598	16539104	ARHGEF19	0
NM_030907	chr1	16558181	16563659	RSG1	0
NM_018994	chr1	16576558	16678948	FBXO42	0
NR_073503	chr1	16693524	16724643	SZRD1	0
NM_198546	chr1	16725137	16763919	SPATA21	0
NM_001145278	chr1	16767166	16786584	NECAP2	0
NR_023386	chr1	16793930	16819196	CROCCP3	0
NM_017940	chr1	16888921	16940100	NBPF1	0
NR_026752	chr1	16944750	16957401	CROCCP2	0
NR_027504	chr1	16972068	16976915	MST1P2	0
NR_026567	chr1	17017712	17046652	ESPNP	0
NM_001282321	chr1	17060446	17060956	FAM231A	0
NM_001271733	chr1	17081128	17090975	MST1L	0
NR_037446	chr1	17185443	17185516	MIR3675	0
NM_014675	chr1	17248444	17299474	CROCC	0
NM_002403	chr1	17300998	17307173	MFAP2	0
NM_001141973	chr1	17312452	17338423	ATP13A2	0
NM_003000	chr1	17345224	17380665	SDHB	0
NM_007365	chr1	17393255	17445948	PADI2	0
NM_013358	chr1	17531620	17572501	PADI1	0
NM_016233	chr1	17575592	17610727	PADI3	0
NM_012387	chr1	17634689	17690495	PADI4	0
NM_207421	chr1	17698690	17728195	PADI6	0
NM_001136204	chr1	17733250	17765059	RCC2	0
NM_001011722	chr1	17907047	18024370	ARHGEF10L	0
NM_030812	chr1	18081807	18153558	ACTL8	0
NM_032880	chr1	18434239	18704977	IGSF21	0
NM_152375	chr1	18807423	18812480	KLHDC7A	0
NM_001135254	chr1	18957499	19075360	PAX7	0
NM_152232	chr1	19166092	19186155	TAS1R2	0
NM_001161504	chr1	19197923	19217385	ALDH4A1	0
NR_039844	chr1	19209695	19209769	MIR4695	0
NM_001136265	chr1	19230773	19282826	IFFO2	0
NM_020765	chr1	19400999	19536746	UBR4	0
NM_001271427	chr1	19542157	19578053	EMC1	0
NM_016183	chr1	19578074	19586622	MRTO4	0
NR_040288	chr1	19592475	19600568	AKR7L	0
NM_012067	chr1	19609056	19615280	AKR7A3	0
NR_037847	chr1	19619740	19622230	LOC100506730	0
NM_003689	chr1	19629201	19638640	AKR7A2	0
NM_001287531	chr1	19638739	19655794	PQLC2	0
NM_004930	chr1	19665266	19812135	CAPZB	0
NR_033757	chr1	19923470	19956315	MINOS1	0
NM_001204088	chr1	19923470	19984949	MINOS1-NBL1	0
NR_077246	chr1	19934300	19935138	RPS14P3	0
NM_001278164	chr1	19969722	19984949	NBL1	0
NM_000871	chr1	19991779	20007459	HTR6	0
NM_181719	chr1	20008705	20126410	TMCO4	0
NM_019062	chr1	20140521	20141771	RNF186	0
NM_015207	chr1	20208887	20239437	OTUD3	0
NM_014589	chr1	20246799	20250110	PLA2G2E	0
NM_001161727	chr1	20301923	20306932	PLA2G2A	0
NM_000929	chr1	20396700	20418394	PLA2G5	0
NM_001271814	chr1	20439142	20446059	PLA2G2D	0
NM_022819	chr1	20465822	20476879	PLA2G2F	0
NM_001105572	chr1	20490483	20501687	PLA2G2C	0
NR_110078	chr1	20510735	20512979	UBXN10-AS1	0
NM_152376	chr1	20512577	20519942	UBXN10	0
NM_001039500	chr1	20617411	20681387	VWA5B1	0
NR_033887	chr1	20686293	20755287	LINC01141	0
NM_018584	chr1	20808883	20812728	CAMK2N1	0
NM_024544	chr1	20825940	20834674	MUL1	0
NM_207334	chr1	20878931	20881513	FAM43B	0
NM_001785	chr1	20915443	20945400	CDA	0
NM_032409	chr1	20959947	20978004	PINK1	0
NR_106732	chr1	20960171	20960281	MIR6084	0
NR_046507	chr1	20969149	20978686	PINK1-AS	0
NM_005216	chr1	20978259	20988037	DDOST	0
NM_001287212	chr1	20990506	21044510	KIF17	0
NM_001103161	chr1	21046224	21059133	SH2D5	0
NM_016287	chr1	21069170	21113181	HP1BP3	0
NM_003760	chr1	21132784	21437876	EIF4G3	0
NM_001113347	chr1	21543739	21606183	ECE1	0
NR_038404	chr1	21619782	21626362	LOC100506801	0
NR_046176	chr1	21766582	21811393	NBPF3	0
NM_000478	chr1	21835857	21904905	ALPL	0
NM_002885	chr1	21922707	21995856	RAP1GAP	0
NM_001032730	chr1	22054338	22109688	USP48	0
NM_001013693	chr1	22138757	22151714	LDLRAD2	0
NM_005529	chr1	22148736	22263750	HSPG2	0
NM_007352	chr1	22303417	22315847	CELA3B	0
NM_005747	chr1	22328148	22339035	CELA3A	0
NR_110692	chr1	22350486	22352541	LOC101928043	0
NR_109759	chr1	22351996	22357717	LINC00339	0
NM_001039802	chr1	22379119	22419436	CDC42	0
NM_030761	chr1	22443797	22469519	WNT4	0
NM_001083621	chr1	22778343	22857650	ZBTB40	0
NM_001006943	chr1	22890003	22916112	EPHA8	0
NR_106742	chr1	22959750	22959859	MIR6127	0
NM_015991	chr1	22963117	22966175	C1QA	0
NM_172369	chr1	22970117	22974603	C1QC	0
NM_000491	chr1	22979681	22988029	C1QB	0
NM_004442	chr1	23037330	23241823	EPHB2	0
NR_039832	chr1	23046009	23046091	MIR4684	0
NR_036214	chr1	23189651	23189719	MIR4253	0
NM_001289974	chr1	23279535	23291923	LACTBL1	0
NM_001242521	chr1	23337326	23342343	C1orf234	0
NM_001009999	chr1	23345940	23410184	KDM1A	0
NR_036057	chr1	23370797	23370865	MIR3115	0
NM_033631	chr1	23410515	23495351	LUZP1	0
NM_000864	chr1	23518387	23521222	HTR1D	0
NR_110616	chr1	23607801	23612011	LOC100996511	0
NM_001102397	chr1	23636275	23670853	HNRNPR	0
NM_030634	chr1	23685940	23694879	ZNF436	0
NR_033690	chr1	23695463	23698330	C1orf213	0
NM_003196	chr1	23707554	23751261	TCEA3	0
NM_017707	chr1	23755055	23810750	ASAP3	0
NM_004091	chr1	23832919	23857712	E2F2	0
NR_110799	chr1	23848421	23854911	LOC101928163	0
NM_002167	chr1	23884420	23886285	ID3	0
NR_027042	chr1	23953823	23967056	MDS2	0
NM_001199802	chr1	24018268	24022915	RPL11	0
NM_003198	chr1	24069855	24088549	TCEB3	0
NR_038280	chr1	24086871	24104787	LOC100506963	0
NM_020362	chr1	24104875	24114722	PITHD1	0
NM_007260	chr1	24117645	24122029	LYPLA2	0
NM_000403	chr1	24122088	24127034	GALE	0
NM_000191	chr1	24128366	24151949	HMGCL	0
NM_000147	chr1	24171571	24194859	FUCA1	0
NM_001841	chr1	24200459	24239817	CNR2	0
NR_039615	chr1	24255559	24255637	MIR378F	0
NM_017761	chr1	24286300	24289949	PNRC2	0
NM_001191007	chr1	24292936	24306953	SRSF10	0
NM_152372	chr1	24382530	24438665	MYOM3	0
NM_021258	chr1	24446260	24469775	IL22RA1	0
NM_170743	chr1	24480646	24513765	IFNLR1	0
NR_027087	chr1	24526729	24538180	LOC284632	0
NM_001195010	chr1	24646055	24681808	GRHL3	0
NM_001199014	chr1	24683488	24740262	STPG1	0
NM_020448	chr1	24742244	24799473	NIPAL3	0
NR_045407	chr1	24822822	24828850	RCAN3AS	0
NM_001251980	chr1	24840803	24863510	RCAN3	0
NR_109781	chr1	24865763	24882515	LOC100506985	0
NM_001010980	chr1	24882566	24935818	NCMAP	0
NM_005839	chr1	24969593	24999772	SRRM1	0
NM_013943	chr1	25071759	25170815	CLIC4	0
NM_004350	chr1	25226001	25256770	RUNX3	0
NR_106789	chr1	25245835	25245907	MIR6731	0
NM_015484	chr1	25548766	25559013	SYF2	0
NM_020317	chr1	25568739	25573985	RSRP1	0
NM_001282872	chr1	25598976	25656936	RHD	0
NM_014313	chr1	25664788	25688852	TMEM50A	0
NM_138616	chr1	25688739	25747363	RHCE	0
NM_001282564	chr1	25757348	25826698	TMEM57	0
NM_015627	chr1	25870075	25895377	LDLRAP1	0
NM_001289010	chr1	25943958	26112698	MAN1C1	0
NM_206926	chr1	26126666	26144713	SEPN1	0
NR_024498	chr1	26146444	26150097	LOC646471	0
NM_001099626	chr1	26147318	26159433	MTFR1L	0
NM_024037	chr1	26160496	26185949	AUNIP	0
NM_178422	chr1	26187974	26197744	PAQR7	0
NM_203399	chr1	26226606	26233368	STMN1	0
NR_037481	chr1	26232852	26232945	MIR3917	0
NM_000437	chr1	26286257	26324648	PAFAH2	0
NM_004455	chr1	26348270	26362954	EXTL1	0
NM_001004434	chr1	26364513	26372604	SLC30A2	0
NM_032588	chr1	26377795	26394125	TRIM63	0
NM_001243533	chr1	26438267	26452039	PDIK1L	0
NM_024869	chr1	26485510	26489119	FAM110D	0
NM_015871	chr1	26496387	26497364	ZNF593	0
NR_023345	chr1	26503981	26516375	CNKSR1	0
NM_198137	chr1	26517118	26529033	CATSPER4	0
NR_110698	chr1	26551810	26556331	LOC101928303	0
NM_022778	chr1	26560643	26605529	CEP85	0
NM_031286	chr1	26606212	26608013	SH3BGRL3	0
NM_145345	chr1	26608772	26644756	UBXN11	0
NM_001803	chr1	26644410	26647014	CD52	0
NM_001039775	chr1	26648349	26680621	AIM1L	0
NM_173574	chr1	26688124	26699266	ZNF683	0
NM_024674	chr1	26737268	26756219	LIN28A	0
NM_001243565	chr1	26758772	26797795	DHDDS	0
NM_005517	chr1	26798901	26803133	HMGN2	0
NM_001006665	chr1	26872342	26901520	RPS6KA1	0
NR_031740	chr1	26881032	26881084	MIR1976	0
NM_139135	chr1	27022521	27108601	ARID1A	0
NM_001202554	chr1	27114678	27124894	PIGV	0
NM_032283	chr1	27153200	27182211	ZDHHC18	0
NM_006142	chr1	27189632	27190947	SFN	0
NM_018066	chr1	27205872	27216869	GPN2	0
NM_022078	chr1	27216978	27226962	GPATCH3	0
NM_021969	chr1	27237974	27240567	NR0B2	0
NM_006600	chr1	27248212	27273362	NUDC	0
NM_152365	chr1	27276046	27286901	C1orf172	0
NM_001013642	chr1	27320194	27327377	TRNP1	0
NM_052943	chr1	27331510	27339333	FAM46B	0
NM_003047	chr1	27425299	27481621	SLC9A1	0
NM_001276252	chr1	27561006	27635124	WDTC1	0
NM_032125	chr1	27648635	27662891	TMEM222	0
NR_033926	chr1	27650364	27653016	LOC644961	0
NM_001193308	chr1	27668482	27680423	SYTL1	0
NM_004672	chr1	27681669	27693337	MAP3K6	0
NM_173452	chr1	27695600	27701315	FCN3	0
NM_207397	chr1	27705589	27709823	CD164L2	0
NM_005281	chr1	27719147	27722317	GPR3	0
NM_006990	chr1	27730733	27816678	WASF2	0
NM_001029882	chr1	27860755	27930143	AHDC1	0
NM_001042747	chr1	27938800	27952751	FGR	0
NM_002038	chr1	27992571	27998724	IFI6	0
NM_152660	chr1	28052489	28089423	FAM76A	0
NM_177424	chr1	28099693	28150963	STX12	0
NM_002713	chr1	28157324	28178183	PPP1R8	0
NR_002997	chr1	28160911	28161077	SCARNA1	0
NM_001286113	chr1	28199053	28213196	THEMIS2	0
NM_001286076	chr1	28218035	28241308	RPA2	0
NM_001009568	chr1	28261503	28282991	SMPDL3B	0
NM_018053	chr1	28286503	28294604	XKR8	0
NR_104214	chr1	28314983	28415148	EYA3	0
NM_000952	chr1	28473676	28503455	PTAFR	0
NM_014280	chr1	28526789	28559542	DNAJC8	0
NM_178190	chr1	28562601	28564616	ATPIF1	0
NM_031459	chr1	28585962	28609002	SESN2	0
NM_001127350	chr1	28655512	28662478	MED18	0
NM_023923	chr1	28764660	28826881	PHACTR4	0
NR_036473	chr1	28832454	28837404	SNHG3	0
NM_001048194	chr1	28844744	28865708	RCC1	0
NR_003109	chr1	28879528	28905057	TRNAU1AP	0
NR_024127	chr1	28905049	28908366	SNHG12	0
NR_003077	chr1	28905254	28905334	SNORD99	0
NR_002987	chr1	28906275	28906405	SNORA61	0
NR_002976	chr1	28906892	28907024	SNORA44	0
NR_003035	chr1	28907431	28907565	SNORA16A	0
NM_152304	chr1	28918711	28921088	RAB42	0
NM_005644	chr1	28929608	28969604	TAF12	0
NR_004407	chr1	28975111	28975246	RNU11	0
NM_006582	chr1	28995239	29042115	GMEB1	0
NM_001172828	chr1	29063451	29096287	YTHDF2	0
NM_000911	chr1	29138653	29190208	OPRD1	0
NM_004437	chr1	29213602	29446558	EPB41	0
NM_001003682	chr1	29445936	29450421	TMEM200B	0
NM_005626	chr1	29474249	29508637	SRSF4	0
NM_016011	chr1	29519168	29557470	MECR	0
NM_005704	chr1	29563027	29653325	PTPRU	0
NR_110758	chr1	29656131	29676626	LOC101928460	0
NR_110790	chr1	30486798	30510459	LOC101929406	0
NM_002379	chr1	31184123	31196432	MATN1	0
NR_034182	chr1	31191618	31199593	MATN1-AS1	0
NM_006762	chr1	31205314	31230683	LAPTM5	0
NR_039616	chr1	31212002	31212079	MIR4420	0
NM_014654	chr1	31342312	31381480	SDC3	0
NM_014676	chr1	31404352	31538564	PUM1	0
NR_004054	chr1	31408535	31408623	SNORD103A	0
NR_033295	chr1	31421964	31422052	SNORD103B	0
NR_003066	chr1	31441009	31441084	SNORD85	0
NM_024522	chr1	31652591	31712734	NKAIN1	0
NM_004814	chr1	31732414	31769644	SNRNP40	0
NM_001282571	chr1	31769828	31837800	ZCCHC17	0
NM_004102	chr1	31838099	31845923	FABP3	0
NM_018565	chr1	31886659	31907527	SERINC2	0
NR_034112	chr1	31971838	31974167	LINC01225	0
NR_027085	chr1	31984035	31989846	LINC01226	0
NM_001204414	chr1	32042085	32053287	TINAGL1	0
NM_001525	chr1	32083300	32092919	HCRTR1	0
NR_033688	chr1	32095462	32110218	PEF1	0
NM_001856	chr1	32117847	32169768	COL16A1	0
NM_001703	chr1	32192717	32229648	BAI2	0
NR_036216	chr1	32224260	32224336	MIR4254	0
NM_001281987	chr1	32256022	32281652	SPOCD1	0
NM_080391	chr1	32372021	32403988	PTP4A2	0
NR_073499	chr1	32479294	32526460	KHDRBS1	0
NM_018056	chr1	32538502	32568467	TMEM39B	0
NM_012316	chr1	32573643	32642168	KPNA6	0
