name	chrom	cdsStart	cdsEnd	name2	list
NM_001256793	chr4	95972850	96075824	BMPR1B	Manning
NM_001204	chr2	203242197	203424669	BMPR2	Manning
NM_001721	chrX	15526476	15574270	BMX	Manning
NM_004333	chr7	140434396	140624503	BRAF	Druggable,Manning
BRAFP1	chrX	74802511	74805341	BRAFP1	Manning
NM_018310	chr8	37701397	37707431	BRF2	Curtis
NM_000061	chrX	100604872	100630272	BTK	Druggable,Manning
NM_020193	chr11	76157982	76261190	C11orf30	Santarius
NM_023080	chr8	146277823	146281416	C8orf33	Curtis
NM_020130	chr8	40011051	40011372	C8orf4	Santarius
NM_032847	chr8	124232195	124253638	C8orf76	Curtis
NM_000721	chr1	181452880	181767970	CACNA1E	Santarius
NM_007359	chr17	38296506	38328431	CASC3	Curtis
NM_053056	chr11	69455872	69469242	CCND1	Curtis,Santarius
NM_001759	chr12	4383206	4409175	CCND2	Santarius
NM_001238	chr19	30303462	30314684	CCNE1	Santarius
NM_001254	chr17	38445672	38458253	CDC6	Santarius
NM_000075	chr12	58142307	58145500	CDK4	Santarius
NM_001145306	chr7	92244453	92462637	CDK6	Santarius
NM_138363	chr17	62503157	62534062	CEP95	Curtis
NM_001256338	chr1	146714353	146767190	CHD1L	Santarius
NM_152284	chr8	82644687	82671748	CHMP4C	Curtis
NM_001826	chr1	154947221	154951253	CKS1B	Santarius
NM_001293	chr11	77327195	77348851	CLNS1A	Curtis
NM_004859	chr17	57697049	57774317	CLTC	Curtis
NM_001199125	chr17	17150411	17179473	COPS3	Santarius
NM_006837	chr8	67955314	67974562	COPS5	Curtis
NM_001288705	chr5	149433631	149465990	CSF1R	Manning
NM_001127190	chr15	75090638	75094854	CSK	Manning
NM_005231	chr11	70244611	70282690	CTTN	Curtis
NM_017748	chr17	36956686	36981603	CWC25	Curtis
NM_020640	chr3	182662881	182698277	DCUN1D1	Santarius
NM_015214	chr8	38089008	38120287	DDHD2	Curtis
NM_001202523	chr6	30852996	30867073	DDR1	Manning
NM_001014796	chr1	162688853	162750036	DDR2	Manning
NM_024295	chr8	124025403	124054663	DERL1	Curtis
NM_024612	chr17	57642885	57685713	DHX40	Curtis
NM_006482	chr12	68042913	68052493	DYRK2	Santarius
NM_001949	chr6	20402463	20490661	E2F3	Santarius
NM_001951	chr8	86089618	86126753	E2F5	Curtis
NM_004215	chr8	110552303	110578225	EBAG9	Curtis
NM_001958	chr20	62119650	62129116	EEF1A2	Santarius
NM_201283	chr7	55086970	55224536	EGFR	Druggable,Manning,Santarius 
NM_004095	chr8	37888019	37917883	EIF4EBP1	Curtis
NM_020390	chr3	170611148	170625595	EIF5A2	Santarius
NM_019063	chr2	42396751	42557347	EML4	Druggable
NM_005232	chr7	143088549	143105898	EPHA1	Manning
NM_001099439	chr1	38184043	38230738	EPHA10	Manning
NM_004431	chr1	16451709	16482427	EPHA2	Manning
NM_182644	chr3	89156898	89448656	EPHA3	Manning
NM_004438	chr2	222290747	222436968	EPHA4	Manning
NM_001281765	chr4	66189831	66535460	EPHA5	Manning
NM_001278301	chr3	96533467	96728873	EPHA6	Manning
NM_001288629	chr6	93953143	94129059	EPHA7	Manning
NM_020526	chr1	22890128	22928234	EPHA8	Manning
NM_004441	chr3	134514473	134977962	EPHB1	Manning
NM_004442	chr1	23037475	23240063	EPHB2	Manning
NM_004443	chr3	184280023	184299410	EPHB3	Manning
NM_004444	chr7	100401082	100424652	EPHB4	Manning
NM_004445	chr7	142560985	142568657	EPHB6	Manning
NM_004448	chr17	37856230	37884915	ERBB2	Druggable,Manning,Santarius,Curtis
NM_001005915	chr12	56474084	56479096	ERBB3	Manning
NM_001042599	chr2	212248339	213403254	ERBB4	Manning
NM_007175	chr8	37594096	37615319	ERLIN2	Curtis
NM_000125	chr6	152129047	152420101	ESR1	Druggable
NM_001163147	chr7	13935490	14028677	ETV1	Santarius
NM_003824	chr11	70049268	70053508	FADD	Curtis,Santarius
NM_032875	chr17	37408896	37557909	FBXL20	Curtis
NM_005246	chr5	108133883	108523276	FER	Manning
FERP1	chrX	122736987	122737808	FERP1	Manning
NM_001143783	chr15	91428275	91438788	FES	Manning
NM_015850	chr8	38271145	38314964	FGFR1	Druggable,Manning,Santarius 
NM_000141	chr10	123239370	123353331	FGFR2	Druggable,Manning
NM_000142	chr4	1795661	1808989	FGFR3	Druggable,Manning
NM_002011	chr5	176516603	176524677	FGFR4	Druggable,Manning
NM_001042729	chr1	27939424	27950427	FGR	Manning
NM_002019	chr13	28877303	29068980	FLT1	Druggable,Manning
FLT1P1	chr3	46183849	46185282	FLT1P1	Manning
NM_004119	chr13	28578188	28674647	FLT3	Druggable,Manning
NM_182925	chr5	180030191	180076545	FLT4	Druggable,Manning
NM_002031	chr6	116263576	116381474	FRK	Manning
NM_002037	chr6	111982941	112041254	FYN	Manning
NM_005257	chr18	19751105	19780786	GATA6	Santarius
NM_004466	chr13	92051300	93518692	GPC5	Santarius
NM_005310	chr17	37894161	37903538	GRB7	Curtis,Santarius
NM_018530	chr17	38060847	38073793	GSDMB	Curtis
NM_001172130	chr20	30640227	30689322	HCK	Manning
NM_022070	chr17	58120551	58156292	HEATR6	Curtis
NM_000875	chr15	99192810	99500671	IGF1R	Manning
NM_001014794	chr11	6625501	6631842	ILK	Manning
NM_000208	chr19	7117066	7293902	INSR	Manning
NM_014215	chr1	156810664	156828413	INSRR	Manning
NM_020748	chr17	59942727	60005377	INTS2	Curtis
NM_033547	chr11	77589765	77705717	INTS4	Curtis
NM_001025242	chrX	153277309	153285263	IRAK1	Manning
NM_001570	chr3	10206638	10283912	IRAK2	Manning
NM_001142523	chr12	66583079	66641951	IRAK3	Manning
NM_001114182	chr12	44161914	44180518	IRAK4	Manning
NM_001270976	chr16	71928737	71961716	IST1	Santarius
NM_005546	chr5	156607988	156679688	ITK	Manning
NM_002227	chr1	65300244	65351947	JAK1	Druggable,Manning
NM_004972	chr9	5021987	5126791	JAK2	Druggable,Manning
NM_000215	chr19	17937551	17955226	JAK3	Manning
NM_002228	chr1	59247746	59248742	JUN	Santarius
NM_006766	chr8	41786996	41909505	KAT6A	Curtis
NM_001029859	chr11	77882297	77899664	KCTD21	Curtis
NM_002253	chr4	55946107	55991460	KDR	Manning
NM_032435	chr1	233463774	233518457	KIAA1804	Manning
NM_000222	chr4	55524181	55604723	KIT	Druggable,Manning,Santarius 
NM_004985	chr12	25362728	25398318	KRAS	Santarius
NM_014238	chr17	25904556	25948961	KSR1	Manning
NM_173598	chr12	117905003	118405973	KSR2	Manning
NM_006148	chr17	37026111	37078023	LASP1	Curtis
NM_001042771	chr1	32739930	32751317	LCK	Manning
NM_002314	chr7	73498320	73535631	LIMK1	Manning
NM_001031801	chr22	31644702	31673126	LIMK2	Manning
LIMK2PS	chrX	11722240	11723721	LIMK2PS	Manning
NM_014916	chr7	97736489	97834804	LMTK2	Manning
NM_001080434	chr19	48989029	49016446	LMTK3	Manning
NM_024652	chr15	101464837	101609053	LRRK1	Manning
NM_198578	chr12	40618933	40761567	LRRK2	Manning
NM_014462	chr8	38020838	38034248	LSM1	Curtis,Santarius
NM_001135685	chr15	41796193	41805907	LTK	Manning
NM_001111097	chr8	56854418	56922669	LYN	Manning
NM_002755	chr15	66679685	66782953	MAP2K1	Druggable
NM_030662	chr19	4090595	4123872	MAP2K2	Druggable
NM_002446	chr19	40697938	40721199	MAP3K10	Manning
NM_002419	chr11	65365761	65381227	MAP3K11	Manning
NM_001193511	chr12	53874965	53881175	MAP3K12	Manning
NM_001242317	chr3	185003393	185200244	MAP3K13	Manning
NM_005923	chr6	136878895	137113295	MAP3K5	Santarius
NM_003188	chr6	91226219	91296602	MAP3K7	Manning
NM_001284230	chr14	71197096	71275888	MAP3K9	Manning
NM_139355	chr19	3778180	3785133	MATK	Manning
NM_001145339	chr12	69202257	69233629	MDM2	Santarius
NM_001204171	chr1	204494646	204518810	MDM4	Santarius
NM_004774	chr17	37560537	37607527	MED1	Curtis
NM_014815	chr17	38175349	38210889	MED24	Curtis
NM_017592	chr19	39881999	39888339	MED29	Santarius
NM_006343	chr2	112656312	112786441	MERTK	Manning
NM_000245	chr7	116339138	116436178	MET	Druggable,Manning,Santarius 
NM_032339	chr17	37885408	37886788	MIEN1	Curtis
NM_198159	chr3	69788748	70014399	MITF	Santarius
NM_001142497	chr16	74706401	74729655	MLKL	Manning
NM_005937	chr17	36861872	36886056	MLLT6	Curtis
NM_181514	chr11	68658745	68671303	MRPL21	Curtis
NM_014018	chr8	80831094	80942506	MRPS28	Curtis
NM_001244937	chr3	49924739	49941042	MST1R	Manning
NM_022045	chr8	121457637	121535875	MTBP	Curtis
NM_178812	chr8	98656734	98736898	MTDH	Santarius
NM_015942	chr8	97251625	97273841	MTERFD1	Curtis
NM_004958	chr1	11167541	11319466	MTOR	Druggable
NM_001166280	chr9	113431184	113563268	MUSK	Manning
NM_002467	chr8	128748839	128753204	MYC	Santarius
NM_001033082	chr1	40363043	40367560	MYCL	Santarius
NM_005378	chr2	16082186	16086219	MYCN	Santarius
NM_024678	chr11	78147006	78285909	NARS2	Curtis
NM_001174087	chr20	46250991	46282161	NCOA3	Santarius
NM_152416	chr8	96037213	96070944	NDUFAF6	Curtis
NM_004549	chr11	77779392	77791265	NDUFC2	Curtis
NM_001079668	chr14	36986482	36989334	NKX2-1	Santarius
NM_014360	chr14	37050106	37051594	NKX2-8	Santarius
NM_173685	chr8	126104082	126379367	NSMCE2	Curtis
NM_001007792	chr1	156785621	156851434	NTRK1	Manning
NM_001018066	chr9	87285663	87486732	NTRK2	Druggable,Manning
NM_001012338	chr15	88420165	88799384	NTRK3	Manning
NM_153451	chr11	69480331	69490165	ORAOV1	Curtis
NM_139280	chr17	38077295	38083884	ORMDL3	Curtis
NM_016023	chr8	92082423	92099323	OTUD6B	Curtis
NM_002576	chr11	77033059	77185108	PAK1	Curtis,Santarius
NM_006194	chr14	37131294	37145657	PAX9	Santarius
NM_007144	chr17	36890149	36904558	PCGF2	Curtis
NM_006206	chr4	55124935	55161439	PDGFRA	Druggable,Manning
NM_002609	chr5	149495325	149516610	PDGFRB	Druggable,Manning
NM_033419	chr17	37827374	37844323	PGAP3	Curtis
NM_002634	chr17	47481409	47492267	PHB	Curtis
NM_006218	chr3	178916613	178952152	PIK3CA	Santarius
NM_003559	chr17	36921943	36956158	PIP4K2B	Curtis
NM_003561	chr16	14766463	14788086	PLA2G10	Santarius
NM_002686	chr17	37824705	37826728	PNMT	Curtis
NM_032483	chr8	38122257	38126738	PPAPDC1B	Curtis
NM_003626	chr11	70116805	70230607	PPFIA1	Curtis
NM_003620	chr17	58677543	58743640	PPM1D	Curtis,Santarius
NM_032192	chr17	37783176	37792878	PPP1R1B	Curtis
NM_002740	chr3	169940457	170020915	PRKCI	Santarius
NM_004705	chr11	76061003	76091880	PRKRIR	Curtis
NM_007198	chr8	37620100	37637286	PROSC	Curtis
NM_002795	chr17	36908965	36920484	PSMB3	Curtis
NM_002809	chr17	38137020	38154213	PSMD3	Curtis
NM_005607	chr8	141668480	142011412	PTK2	Curtis,Manning
NM_004103	chr8	27255101	27316026	PTK2B	Manning
NM_005975	chr20	62160888	62168667	PTK6	Manning,Santarius
NM_002821	chr6	43044226	43128619	PTK7	Manning
NM_016077	chr17	57774666	57784856	PTRH2	Curtis
NM_025151	chr8	37716464	37757015	RAB11FIP1	Curtis
NM_020673	chr20	56884770	56942563	RAB22A	Curtis
NM_001278668	chr6	57055258	57075178	RAB23	Santarius
NM_020387	chr1	156031191	156040078	RAB25	Santarius
NM_002880	chr3	12626012	12660220	RAF1	Manning
RAF1P1	chr4	10256550	10258283	RAF1P1	Manning
NM_002908	chr2	61108975	61149670	REL	Santarius
NM_020975	chr10	43572706	43623717	RET	Druggable,Manning
NM_003804	chr6	3077057	3113573	RIPK1	Manning
NM_003821	chr8	90770288	90802644	RIPK2	Manning
NM_006871	chr14	24805380	24809032	RIPK3	Manning
NM_020639	chr21	43160997	43187201	RIPK4	Manning
NM_016125	chr17	58029722	58042117	RNFT1	Curtis
NM_005012	chr1	64240088	64644538	ROR1	Manning
NM_004560	chr9	94485943	94712245	ROR2	Manning
NM_002944	chr6	117609654	117746819	ROS1	Druggable,Manning
NM_000981	chr17	37356535	37360980	RPL19	Curtis
NM_003161	chr17	57970406	58027786	RPS6KB1	Curtis,Santarius
NM_016578	chr11	77377273	77531880	RSF1	Curtis
NM_003707	chr3	127800092	127842567	RUVBL1	Santarius
NM_001005861	chr3	133876996	133969496	RYK	Manning
RYKP1	chr17	4125361	4128349	RYKP1	Manning
NM_003029	chr1	154936278	154942672	SHC1	Santarius
NM_000193	chr7	155595593	155604816	SHH	Santarius
NM_005983	chr5	36152364	36182133	SKP2	Santarius
NM_005827	chr17	47778295	47785313	SLC35B1	Curtis
NM_005631	chr7	128828992	128852292	SMO	Druggable
NM_001199847	chr7	98628206	98741403	SMURF1	Santarius
NM_005417	chr20	36012556	36031782	SRC	Manning
NM_003132	chr1	11114921	11120000	SRM	Manning
NM_006804	chr17	37793332	37820454	STARD3	Curtis,Santarius
NM_018423	chr12	10772742	10787217	STYK1	Manning
NM_003168	chr17	56422535	56429599	SUPT4H1	Curtis
NM_001135052	chr9	93606180	93657882	SYK	Manning
NM_016360	chr17	61678230	61685725	TACO1	Curtis
NM_003184	chr8	120743013	120845074	TAF2	Curtis
NM_145647	chr8	124084919	124164392	TBC1D31	Curtis
NM_003673	chr17	37821598	37822807	TCAP	Curtis
NM_003215	chr4	48139432	48230631	TEC	Manning
NM_000459	chr9	27109588	27229230	TEK	Druggable,Manning
NM_006285	chr9	35605616	35609739	TESK1	Manning
NM_007170	chr1	45810511	45923457	TESK2	Manning
NM_001130916	chr9	101867487	101911587	TGFBR1	Manning
NM_001024847	chr3	30648375	30733091	TGFBR2	Manning
NM_005424	chr1	43766742	43788393	TIE1	Manning
NM_031940	chr8	38846326	38854041	TM2D2	Curtis
NM_001251902	chr17	7286245	7292403	TNK1	Manning
NM_005781	chr3	195591051	195615459	TNK2	Manning
NM_015978	chr1	74701135	75009666	TNNI3K	Manning
NM_139075	chr11	68816349	68858072	TPCN2	Curtis
NM_025195	chr8	126443144	126448713	TRIB1	Santarius
NM_001005207	chr17	57060000	57184266	TRIM37	Curtis
NM_017956	chr8	125463047	125465266	TRMT12	Curtis
NM_000368	chr9	135771621	135804259	TSC1	Druggable
NM_000548	chr16	2098616	2138611	TSC2	Druggable
NM_016261	chr17	57936840	57970306	TUBD1	Curtis
NM_003328	chr4	48069653	48136187	TXK	Manning
NM_003331	chr19	10461509	10489082	TYK2	Manning
NM_006293	chr15	41851455	41870474	TYRO3	Manning
TYRO3P	chr15	76551298	76553241	TYRO3P	Manning
NM_032582	chr17	58254690	58469586	USP32	Curtis
NM_020798	chr11	77899857	77925757	USP35	Curtis
NM_032334	chr8	117778741	117786921	UTP23	Curtis
NM_030938	chr17	57784862	57917952	VMP1	Curtis
NM_023034	chr8	38133158	38205689	WHSC1L1	Curtis,Santarius
NM_001130145	chr11	101981579	102100671	YAP1	Santarius
NM_006530	chr12	69753752	69784096	YEATS4	Santarius
NM_005433	chr18	724423	756827	YES1	Manning
YESP	chr22	26043108	26048002	YESP	Manning
NM_003404	chr20	43530174	43535079	YWHAB	Santarius
NM_006826	chr2	9725414	9770581	YWHAQ	Santarius
NM_003406	chr8	101930803	101965623	YWHAZ	Curtis,Santarius
NM_133646	chr2	173955759	174086258	ZAK	Manning
NM_001079	chr2	98340499	98355961	ZAP70	Manning
NM_024699	chr8	82613565	82633539	ZFAND1	Curtis
NM_006526	chr20	52188282	52199365	ZNF217	Santarius
NM_016331	chr3	179046081	179052210	ZNF639	Santarius
NM_003416	chr8	146052902	146068607	ZNF7	Curtis
NM_025069	chr8	37553300	37556396	ZNF703	Curtis
NM_016096	chr8	102209265	102217960	ZNF706	Curtis
HSA-MIR569	chr3	170824453	170824548	MIR569	Chaluvally
