Block	Spot-rowy	Spot-colx	Chr	Position
2	3	9	21	46.5211515
2	3	10	7	87.8674955
2	4	1	NA	NA
2	4	2	NA	NA
2	4	3	NA	NA
2	4	4	NA	NA
2	4	5	8	97.458368
2	4	6	4	190.9416745
2	4	7	12	122.1715565
2	4	8	8	48.3224195
2	4	9	8	76.874725
2	4	10	16	9.7909395
2	5	1	10	86.497092
2	5	2	22	31.75547
2	5	3	6	167.7516825
2	5	4	9	74.3936785
2	5	5	21	13.5392585
2	5	6	23	44.196458
2	5	7	19	9.7419315
2	5	8	8	31.5154255
2	5	9	8	35.36601
2	5	10	0	NA
2	6	1	14	67.413369
2	6	2	4	13.6420315
2	6	3	12	114.038635
2	6	4	5	101.0894595
2	6	5	23	2.072911
2	6	6	8	42.2015685
2	6	7	21	46.5211515
2	6	8	7	87.8674955
2	6	9	1	189.6166375
2	6	10	9	29.6030505
2	7	1	NA	NA
2	7	2	NA	NA
2	7	3	8	97.458368
2	7	4	4	190.9416745
2	7	5	12	122.1715565
2	7	6	8	48.3224195
2	7	7	8	76.874725
2	7	8	16	9.7909395
2	7	9	8	50.5031685
2	7	10	3	41.101612
2	8	1	6	167.7516825
2	8	2	9	74.3936785
2	8	3	21	13.5392585
2	8	4	23	44.196458
2	8	5	19	9.7419315
2	8	6	8	31.5154255
2	8	7	8	35.36601
2	8	8	0	NA
2	8	9	NA	NA
2	8	10	NA	NA
2	9	1	12	114.038635
2	9	2	5	101.0894595
2	9	3	23	2.072911
2	9	4	8	42.2015685
2	9	5	21	46.5211515
2	9	6	7	87.8674955
2	9	7	1	189.6166375
2	9	8	9	29.6030505
2	9	9	10	86.497092
2	9	10	22	31.75547
2	10	1	8	97.458368
2	10	2	4	190.9416745
2	10	3	12	122.1715565
2	10	4	8	48.3224195
2	10	5	8	76.874725
2	10	6	16	9.7909395
2	10	7	8	50.5031685
2	10	8	3	41.101612
2	10	9	14	67.413369
2	10	10	4	13.6420315
2	11	1	NA	NA
2	11	2	NA	NA
2	11	3	NA	NA
2	11	4	NA	NA
2	11	5	NA	NA
2	11	6	NA	NA
2	11	7	NA	NA
2	11	8	NA	NA
2	11	9	NA	NA
2	11	10	NA	NA
3	1	1	8	36.7701545
3	1	2	30	NA
3	1	3	NA	NA
3	1	4	NA	NA
3	1	5	NA	NA
3	1	6	NA	NA
3	1	7	NA	NA
3	1	8	NA	NA
3	1	9	NA	NA
3	1	10	NA	NA
3	2	1	6	86.0305465
3	2	2	10	128.275713
3	2	3	13	71.213876
3	2	4	17	37.80304
3	2	5	6	56.7197705
3	2	6	10	12.018745
3	2	7	20	17.891992
3	2	8	11	69.9465305
3	2	9	20	52.8634455
3	2	10	8	33.313234
3	3	1	7	0.7270165
3	3	2	2	64.681518
3	3	3	15	91.4185315
3	3	4	8	102.2355665
3	3	5	7	11.6053495
3	3	6	8	39.5328935
3	3	7	8	0.7311995
3	3	8	3	184.8178435
3	3	9	12	0.2502055
3	3	10	1	99.2917095
3	4	1	NA	NA
3	4	2	NA	NA
3	4	3	NA	NA
3	4	4	NA	NA
3	4	5	8	122.3982275
3	4	6	2	117.447005
3	4	7	7	42.4677385
3	4	8	8	124.234091
3	4	9	15	51.4495195
3	4	10	2	2.41374
3	5	1	13	71.213876
3	5	2	17	37.80304
3	5	3	6	56.7197705
3	5	4	10	12.018745
3	5	5	20	17.891992
3	5	6	11	69.9465305
3	5	7	20	52.8634455
3	5	8	8	33.313234
3	5	9	8	36.7701545
3	5	10	30	NA
3	6	1	15	91.4185315
3	6	2	8	102.2355665
3	6	3	7	11.6053495
3	6	4	8	39.5328935
3	6	5	8	0.7311995
3	6	6	3	184.8178435
3	6	7	12	0.2502055
3	6	8	1	99.2917095
3	6	9	6	86.0305465
3	6	10	10	128.275713
3	7	1	NA	NA
3	7	2	NA	NA
3	7	3	8	122.3982275
3	7	4	2	117.447005
3	7	5	7	42.4677385
3	7	6	8	124.234091
3	7	7	15	51.4495195
3	7	8	2	2.41374
3	7	9	7	0.7270165
3	7	10	2	64.681518
3	8	1	6	56.7197705
3	8	2	10	12.018745
3	8	3	20	17.891992
3	8	4	11	69.9465305
3	8	5	20	52.8634455
3	8	6	8	33.313234
3	8	7	8	36.7701545
3	8	8	30	NA
3	8	9	NA	NA
3	8	10	NA	NA
3	9	1	7	11.6053495
3	9	2	8	39.5328935
3	9	3	8	0.7311995
3	9	4	3	184.8178435
3	9	5	12	0.2502055
3	9	6	1	99.2917095
3	9	7	6	86.0305465
3	9	8	10	128.275713
3	9	9	13	71.213876
3	9	10	17	37.80304
3	10	1	8	122.3982275
3	10	2	2	117.447005
3	10	3	7	42.4677385
3	10	4	8	124.234091
3	10	5	15	51.4495195
3	10	6	2	2.41374
3	10	7	7	0.7270165
3	10	8	2	64.681518
3	10	9	15	91.4185315
3	10	10	8	102.2355665
3	11	1	NA	NA
3	11	2	NA	NA
3	11	3	NA	NA
3	11	4	NA	NA
3	11	5	NA	NA
3	11	6	NA	NA
3	11	7	NA	NA
3	11	8	NA	NA
3	11	9	NA	NA
3	11	10	NA	NA
4	1	1	8	36.91528
4	1	2	30	NA
4	1	3	NA	NA
4	1	4	NA	NA
4	1	5	NA	NA
4	1	6	NA	NA
4	1	7	NA	NA
4	1	8	NA	NA
4	1	9	NA	NA
4	1	10	NA	NA
4	2	1	6	22.5778545
4	2	2	10	1.288394
4	2	3	13	104.4117815
4	2	4	11	69.781609
4	2	5	6	33.4383105
4	2	6	NA	NA
4	2	7	20	10.4679605
4	2	8	NA	NA
4	2	9	20	55.531271
4	2	10	8	33.458216
4	3	1	2	230.743922
4	3	2	8	52.409292
4	3	3	18	1.0359505
4	3	4	NA	NA
4	3	5	14	87.0053935
4	3	6	NA	NA
4	3	7	11	94.6259625
4	3	8	8	26.0561175
4	3	9	8	87.313123
4	3	10	1	110.2944515
4	4	1	NA	NA
4	4	2	NA	NA
4	4	3	NA	NA
4	4	4	NA	NA
4	4	5	4	158.886492
4	4	6	14	58.338743
4	4	7	11	56.8122405
4	4	8	8	10.549
4	4	9	15	62.2305
4	4	10	19	23.627867
4	5	1	13	104.4117815
4	5	2	11	69.781609
4	5	3	6	33.4383105
4	5	4	NA	NA
4	5	5	20	10.4679605
4	5	6	NA	NA
4	5	7	20	55.531271
4	5	8	8	33.458216
4	5	9	8	36.91528
4	5	10	30	NA
4	6	1	18	1.0359505
4	6	2	NA	NA
4	6	3	14	87.0053935
4	6	4	NA	NA
4	6	5	11	94.6259625
4	6	6	8	26.0561175
4	6	7	8	87.313123
4	6	8	1	110.2944515
4	6	9	6	22.5778545
4	6	10	10	1.288394
4	7	1	NA	NA
4	7	2	NA	NA
4	7	3	4	158.886492
4	7	4	14	58.338743
4	7	5	11	56.8122405
4	7	6	8	10.549
4	7	7	15	62.2305
4	7	8	19	23.627867
4	7	9	2	230.743922
4	7	10	8	52.409292
4	8	1	6	33.4383105
4	8	2	NA	NA
4	8	3	20	10.4679605
4	8	4	NA	NA
4	8	5	20	55.531271
4	8	6	8	33.458216
4	8	7	8	36.91528
4	8	8	30	NA
4	8	9	NA	NA
4	8	10	NA	NA
4	9	1	14	87.0053935
4	9	2	NA	NA
4	9	3	11	94.6259625
4	9	4	8	26.0561175
4	9	5	8	87.313123
4	9	6	1	110.2944515
4	9	7	6	22.5778545
4	9	8	10	1.288394
4	9	9	13	104.4117815
4	9	10	11	69.781609
4	10	1	4	158.886492
4	10	2	14	58.338743
4	10	3	11	56.8122405
4	10	4	8	10.549
4	10	5	15	62.2305
4	10	6	19	23.627867
4	10	7	2	230.743922
4	10	8	8	52.409292
4	10	9	18	1.0359505
4	10	10	NA	NA
4	11	1	NA	NA
4	11	2	NA	NA
4	11	3	NA	NA
4	11	4	NA	NA
4	11	5	NA	NA
4	11	6	NA	NA
4	11	7	NA	NA
4	11	8	NA	NA
4	11	9	NA	NA
4	11	10	NA	NA
5	1	1	8	34.7007605
5	1	2	8	33.405418
5	1	3	NA	NA
5	1	4	NA	NA
5	1	5	NA	NA
5	1	6	NA	NA
5	1	7	NA	NA
5	1	8	NA	NA
5	1	9	NA	NA
5	1	10	NA	NA
5	2	1	1	160.9668235
5	2	2	6	65.0770505
5	2	3	10	36.031998
5	2	4	22	20.349627
5	2	5	1	230.0187745
5	2	6	9	21.0774335
5	2	7	13	83.884155
5	2	8	23	55.6341
5	2	9	15	37.498842
5	2	10	8	31.339552
5	3	1	4	111.935016
5	3	2	3	72.267499
5	3	3	17	0.911323
5	3	4	4	4.2129975
5	3	5	4	169.3882625
5	3	6	16	78.8719135
5	3	7	8	59.096857
5	3	8	5	180.0968475
5	3	9	8	42.9945845
5	3	10	7	54.17688
5	4	1	NA	NA
5	4	2	NA	NA
5	4	3	NA	NA
5	4	4	NA	NA
5	4	5	15	19.747861
5	4	6	3	105.0629535
5	4	7	8	107.4964705
5	4	8	16	68.8203415
5	4	9	8	104.5678925
5	4	10	2	144.990173
5	5	1	10	36.031998
5	5	2	22	20.349627
5	5	3	1	230.0187745
5	5	4	9	21.0774335
5	5	5	13	83.884155
5	5	6	23	55.6341
5	5	7	15	37.498842
5	5	8	8	31.339552
5	5	9	8	34.7007605
5	5	10	8	33.405418
5	6	1	17	0.911323
5	6	2	4	4.2129975
5	6	3	4	169.3882625
5	6	4	16	78.8719135
5	6	5	8	59.096857
5	6	6	5	180.0968475
5	6	7	8	42.9945845
5	6	8	7	54.17688
5	6	9	1	160.9668235
5	6	10	6	65.0770505
5	7	1	NA	NA
5	7	2	NA	NA
5	7	3	15	19.747861
5	7	4	3	105.0629535
5	7	5	8	107.4964705
5	7	6	16	68.8203415
5	7	7	8	104.5678925
5	7	8	2	144.990173
5	7	9	4	111.935016
5	7	10	3	72.267499
5	8	1	1	230.0187745
5	8	2	9	21.0774335
5	8	3	13	83.884155
5	8	4	23	55.6341
5	8	5	15	37.498842
5	8	6	8	31.339552
5	8	7	8	34.7007605
5	8	8	8	33.405418
5	8	9	NA	NA
5	8	10	NA	NA
5	9	1	4	169.3882625
5	9	2	16	78.8719135
5	9	3	8	59.096857
5	9	4	5	180.0968475
5	9	5	8	42.9945845
5	9	6	7	54.17688
5	9	7	1	160.9668235
5	9	8	6	65.0770505
5	9	9	10	36.031998
5	9	10	22	20.349627
5	10	1	15	19.747861
5	10	2	3	105.0629535
5	10	3	8	107.4964705
5	10	4	16	68.8203415
5	10	5	8	104.5678925
5	10	6	2	144.990173
5	10	7	4	111.935016
5	10	8	3	72.267499
5	10	9	17	0.911323
5	10	10	4	4.2129975
5	11	1	NA	NA
5	11	2	NA	NA
5	11	3	NA	NA
5	11	4	NA	NA
5	11	5	NA	NA
5	11	6	NA	NA
5	11	7	NA	NA
5	11	8	NA	NA
5	11	9	NA	NA
5	11	10	NA	NA
6	1	1	8	34.865734
6	1	2	8	34.461274
6	1	3	NA	NA
6	1	4	NA	NA
6	1	5	NA	NA
6	1	6	NA	NA
6	1	7	NA	NA
6	1	8	NA	NA
6	1	9	NA	NA
6	1	10	NA	NA
6	2	1	1	176.282603
6	2	2	6	45.7622955
6	2	3	10	57.018402
6	2	4	22	49.223015
6	2	5	1	238.30429
6	2	6	9	122.745813
6	2	7	13	38.6315205
6	2	8	23	66.8888835
6	2	9	19	35.008606
6	2	10	8	31.320927
6	3	1	18	53.1808295
6	3	2	2	106.1702975
6	3	3	23	152.1288485
6	3	4	2	203.629758
6	3	5	4	149.099982
6	3	6	2	23.194999
6	3	7	12	20.7928305
6	3	8	7	93.2119375
6	3	9	8	6.9332175
6	3	10	2	83.645328
6	4	1	NA	NA
6	4	2	NA	NA
6	4	3	NA	NA
6	4	4	NA	NA
6	4	5	8	115.4447765
6	4	6	3	173.6930225
6	4	7	4	179.8415535
6	4	8	4	136.825369
6	4	9	8	52.687568
6	4	10	2	136.021132
6	5	1	10	57.018402
6	5	2	22	49.223015
6	5	3	1	238.30429
6	5	4	9	122.745813
6	5	5	13	38.6315205
6	5	6	23	66.8888835
6	5	7	19	35.008606
6	5	8	8	31.320927
6	5	9	8	34.865734
6	5	10	8	34.461274
6	6	1	23	152.1288485
6	6	2	2	203.629758
6	6	3	4	149.099982
6	6	4	2	23.194999
6	6	5	12	20.7928305
6	6	6	7	93.2119375
6	6	7	8	6.9332175
6	6	8	2	83.645328
6	6	9	1	176.282603
6	6	10	6	45.7622955
6	7	1	NA	NA
6	7	2	NA	NA
6	7	3	8	115.4447765
6	7	4	3	173.6930225
6	7	5	4	179.8415535
6	7	6	4	136.825369
6	7	7	8	52.687568
6	7	8	2	136.021132
6	7	9	18	53.1808295
6	7	10	2	106.1702975
6	8	1	1	238.30429
6	8	2	9	122.745813
6	8	3	13	38.6315205
6	8	4	23	66.8888835
6	8	5	19	35.008606
6	8	6	8	31.320927
6	8	7	8	34.865734
6	8	8	8	34.461274
6	8	9	NA	NA
6	8	10	NA	NA
6	9	1	4	149.099982
6	9	2	2	23.194999
6	9	3	12	20.7928305
6	9	4	7	93.2119375
6	9	5	8	6.9332175
6	9	6	2	83.645328
6	9	7	1	176.282603
6	9	8	6	45.7622955
6	9	9	10	57.018402
6	9	10	22	49.223015
6	10	1	8	115.4447765
6	10	2	3	173.6930225
6	10	3	4	179.8415535
6	10	4	4	136.825369
6	10	5	8	52.687568
6	10	6	2	136.021132
6	10	7	18	53.1808295
6	10	8	2	106.1702975
6	10	9	23	152.1288485
6	10	10	2	203.629758
6	11	1	NA	NA
6	11	2	NA	NA
6	11	3	NA	NA
6	11	4	NA	NA
6	11	5	NA	NA
6	11	6	NA	NA
6	11	7	NA	NA
6	11	8	NA	NA
6	11	9	NA	NA
6	11	10	NA	NA
7	1	1	8	36.21501
7	1	2	30	NA
7	1	3	NA	NA
7	1	4	NA	NA
7	1	5	NA	NA
7	1	6	NA	NA
7	1	7	NA	NA
7	1	8	NA	NA
7	1	9	NA	NA
7	1	10	NA	NA
7	2	1	6	154.0136465
7	2	2	9	84.3131105
7	2	3	13	113.8553345
7	2	4	23	88.392181
7	2	5	6	77.5996195
7	2	6	10	66.028251
7	2	7	20	29.4669495
7	2	8	11	70.9381175
7	2	9	9	21.949837
7	2	10	8	33.024597
7	3	1	7	21.372529
7	3	2	8	24.1387535
7	3	3	8	16.162929
7	3	4	8	142.315535
7	3	5	18	32.413398
7	3	6	8	69.8614565
7	3	7	11	1.7280595
7	3	8	4	101.765092
7	3	9	3	165.2698845
7	3	10	1	82.0715525
7	4	1	NA	NA
7	4	2	NA	NA
7	4	3	NA	NA
7	4	4	NA	NA
7	4	5	19	49.1104785
7	4	6	12	30.481393
7	4	7	8	123.2115515
7	4	8	17	71.2359745
7	4	9	4	41.588764
7	4	10	8	47.47084
7	5	1	13	113.8553345
7	5	2	23	88.392181
7	5	3	6	77.5996195
7	5	4	10	66.028251
7	5	5	20	29.4669495
7	5	6	11	70.9381175
7	5	7	9	21.949837
7	5	8	8	33.024597
7	5	9	8	36.21501
7	5	10	30	NA
7	6	1	8	16.162929
7	6	2	8	142.315535
7	6	3	18	32.413398
7	6	4	8	69.8614565
7	6	5	11	1.7280595
7	6	6	4	101.765092
7	6	7	3	165.2698845
7	6	8	1	82.0715525
7	6	9	6	154.0136465
7	6	10	9	84.3131105
7	7	1	NA	NA
7	7	2	NA	NA
7	7	3	19	49.1104785
7	7	4	12	30.481393
7	7	5	8	123.2115515
7	7	6	17	71.2359745
7	7	7	4	41.588764
7	7	8	8	47.47084
7	7	9	7	21.372529
7	7	10	8	24.1387535
7	8	1	6	77.5996195
7	8	2	10	66.028251
7	8	3	20	29.4669495
7	8	4	11	70.9381175
7	8	5	9	21.949837
7	8	6	8	33.024597
7	8	7	8	36.21501
7	8	8	30	NA
7	8	9	NA	NA
7	8	10	NA	NA
7	9	1	18	32.413398
7	9	2	8	69.8614565
7	9	3	11	1.7280595
7	9	4	4	101.765092
7	9	5	3	165.2698845
7	9	6	1	82.0715525
7	9	7	6	154.0136465
7	9	8	9	84.3131105
7	9	9	13	113.8553345
7	9	10	23	88.392181
7	10	1	19	49.1104785
7	10	2	12	30.481393
7	10	3	8	123.2115515
7	10	4	17	71.2359745
7	10	5	4	41.588764
7	10	6	8	47.47084
7	10	7	7	21.372529
7	10	8	8	24.1387535
7	10	9	8	16.162929
7	10	10	8	142.315535
7	11	1	NA	NA
7	11	2	NA	NA
7	11	3	NA	NA
7	11	4	NA	NA
7	11	5	NA	NA
7	11	6	NA	NA
7	11	7	NA	NA
7	11	8	NA	NA
7	11	9	NA	NA
7	11	10	NA	NA
8	1	1	8	36.6857
8	1	2	30	NA
8	1	3	NA	NA
8	1	4	NA	NA
8	1	5	NA	NA
8	1	6	NA	NA
8	1	7	NA	NA
8	1	8	NA	NA
8	1	9	NA	NA
8	1	10	NA	NA
8	2	1	6	1.317376
8	2	2	9	12.314193
8	2	3	13	59.8141295
8	2	4	18	60.751171
8	2	5	6	10.5956145
8	2	6	10	77.010163
8	2	7	20	62.753559
8	2	8	4	57.7039695
8	2	9	8	128.3572115
8	2	10	8	33.0854025
8	3	1	8	67.833423
8	3	2	17	81.237046
8	3	3	8	28.7578985
8	3	4	17	53.1774565
8	3	5	2	175.396376
8	3	6	5	78.246993
8	3	7	24	13.471521
8	3	8	15	99.7090535
8	3	9	8	131.320037
8	3	10	1	94.263114
8	4	1	NA	NA
8	4	2	NA	NA
8	4	3	NA	NA
8	4	4	NA	NA
8	4	5	4	126.610991
8	4	6	2	193.2516165
8	4	7	14	18.5709655
8	4	8	8	138.995528
8	4	9	17	29.2010045
8	4	10	8	73.148799
8	5	1	13	59.8141295
8	5	2	18	60.751171
8	5	3	6	10.5956145
8	5	4	10	77.010163
8	5	5	20	62.753559
8	5	6	4	57.7039695
8	5	7	8	128.3572115
8	5	8	8	33.0854025
8	5	9	8	36.6857
8	5	10	30	NA
8	6	1	8	28.7578985
8	6	2	17	53.1774565
8	6	3	2	175.396376
8	6	4	5	78.246993
8	6	5	24	13.471521
8	6	6	15	99.7090535
8	6	7	8	131.320037
8	6	8	1	94.263114
8	6	9	6	1.317376
8	6	10	9	12.314193
8	7	1	NA	NA
8	7	2	NA	NA
8	7	3	4	126.610991
8	7	4	2	193.2516165
8	7	5	14	18.5709655
8	7	6	8	138.995528
8	7	7	17	29.2010045
8	7	8	8	73.148799
8	7	9	8	67.833423
8	7	10	17	81.237046
8	8	1	6	10.5956145
8	8	2	10	77.010163
8	8	3	20	62.753559
8	8	4	4	57.7039695
8	8	5	8	128.3572115
8	8	6	8	33.0854025
8	8	7	8	36.6857
8	8	8	30	NA
8	8	9	NA	NA
8	8	10	NA	NA
8	9	1	2	175.396376
8	9	2	5	78.246993
8	9	3	24	13.471521
8	9	4	15	99.7090535
8	9	5	8	131.320037
8	9	6	1	94.263114
8	9	7	6	1.317376
8	9	8	9	12.314193
8	9	9	13	59.8141295
8	9	10	18	60.751171
8	10	1	4	126.610991
8	10	2	2	193.2516165
8	10	3	14	18.5709655
8	10	4	8	138.995528
8	10	5	17	29.2010045
8	10	6	8	73.148799
8	10	7	8	67.833423
8	10	8	17	81.237046
8	10	9	8	28.7578985
8	10	10	17	53.1774565
8	11	1	NA	NA
8	11	2	NA	NA
8	11	3	NA	NA
8	11	4	NA	NA
8	11	5	NA	NA
8	11	6	NA	NA
8	11	7	NA	NA
8	11	8	NA	NA
8	11	9	NA	NA
8	11	10	NA	NA
9	1	1	8	34.404116
9	1	2	8	31.641495
9	1	3	12	49.044755
9	1	4	8	31.981211
9	1	5	8	35.649134
9	1	6	0	NA
9	1	7	NA	NA
9	1	8	NA	NA
9	1	9	NA	NA
9	1	10	NA	NA
9	2	1	19	10.3616105
9	2	2	7	157.262164
9	2	3	8	130.0211735
9	2	4	1	21.2829195
9	2	5	1	210.0899385
9	2	6	9	103.539724
9	2	7	13	19.104448
9	2	8	23	101.736564
9	2	9	11	2.3772065
9	2	10	8	31.115047
9	3	1	17	62.5369935
9	3	2	8	103.4425085
9	3	3	11	11.8199525
9	3	4	16	49.4820775
9	3	5	8	61.324185
9	3	6	12	41.1776445
9	3	7	5	86.4094655
9	3	8	14	28.2500145
9	3	9	14	38.373803
9	3	10	3	10.1732705
9	4	1	12	49.044755
9	4	2	8	31.981211
9	4	3	8	35.649134
9	4	4	0	NA
9	4	5	2	74.4843025
9	4	6	8	127.2635825
9	4	7	14	96.0702175
9	4	8	8	108.6583415
9	4	9	2	53.1068265
9	4	10	8	81.131779
9	5	1	8	130.0211735
9	5	2	1	21.2829195
9	5	3	1	210.0899385
9	5	4	9	103.539724
9	5	5	13	19.104448
9	5	6	23	101.736564
9	5	7	11	2.3772065
9	5	8	8	31.115047
9	5	9	8	34.404116
9	5	10	8	31.641495
9	6	1	11	11.8199525
9	6	2	16	49.4820775
9	6	3	8	61.324185
9	6	4	12	41.1776445
9	6	5	5	86.4094655
9	6	6	14	28.2500145
9	6	7	14	38.373803
9	6	8	3	10.1732705
9	6	9	19	10.3616105
9	6	10	7	157.262164
9	7	1	8	35.649134
9	7	2	0	NA
9	7	3	2	74.4843025
9	7	4	8	127.2635825
9	7	5	14	96.0702175
9	7	6	8	108.6583415
9	7	7	2	53.1068265
9	7	8	8	81.131779
9	7	9	17	62.5369935
9	7	10	8	103.4425085
9	8	1	1	210.0899385
9	8	2	9	103.539724
9	8	3	13	19.104448
9	8	4	23	101.736564
9	8	5	11	2.3772065
9	8	6	8	31.115047
9	8	7	8	34.404116
9	8	8	8	31.641495
9	8	9	12	49.044755
9	8	10	8	31.981211
9	9	1	8	61.324185
9	9	2	12	41.1776445
9	9	3	5	86.4094655
9	9	4	14	28.2500145
9	9	5	14	38.373803
9	9	6	3	10.1732705
9	9	7	19	10.3616105
9	9	8	7	157.262164
9	9	9	8	130.0211735
9	9	10	1	21.2829195
9	10	1	2	74.4843025
9	10	2	8	127.2635825
9	10	3	14	96.0702175
9	10	4	8	108.6583415
9	10	5	2	53.1068265
9	10	6	8	81.131779
9	10	7	17	62.5369935
9	10	8	8	103.4425085
9	10	9	11	11.8199525
9	10	10	16	49.4820775
9	11	1	NA	NA
9	11	2	NA	NA
9	11	3	NA	NA
9	11	4	NA	NA
9	11	5	NA	NA
9	11	6	NA	NA
9	11	7	NA	NA
9	11	8	NA	NA
9	11	9	NA	NA
9	11	10	NA	NA
10	1	1	8	34.501072
10	1	2	8	32.9600135
10	1	3	15	38.6471125
10	1	4	8	32.286711
10	1	5	8	35.7442135
10	1	6	0	NA
10	1	7	NA	NA
10	1	8	NA	NA
10	1	9	NA	NA
10	1	10	NA	NA
10	2	1	8	62.0526105
10	2	2	17	17.4321355
10	2	3	23	26.1796275
10	2	4	1	32.6144855
10	2	5	1	221.185597
10	2	6	9	132.5825285
10	2	7	13	27.951903
10	2	8	23	143.004186
10	2	9	7	115.8209095
10	2	10	8	31.209523
10	3	1	7	33.549666
10	3	2	18	77.2778
10	3	3	8	8.4173835
10	3	4	8	95.703892
10	3	5	8	110.1242975
10	3	6	2	224.338608
10	3	7	14	77.7993525
10	3	8	8	88.909111
10	3	9	19	4.9041725
10	3	10	14	104.2528805
10	4	1	15	38.6471125
10	4	2	8	32.286711
10	4	3	8	35.7442135
10	4	4	0	NA
10	4	5	8	72.2445545
10	4	6	11	76.6984685
10	4	7	4	33.789942
10	4	8	8	84.7885195
10	4	9	18	43.5423025
10	4	10	3	31.595046
10	5	1	23	26.1796275
10	5	2	1	32.6144855
10	5	3	1	221.185597
10	5	4	9	132.5825285
10	5	5	13	27.951903
10	5	6	23	143.004186
10	5	7	7	115.8209095
10	5	8	8	31.209523
10	5	9	8	34.501072
10	5	10	8	32.9600135
10	6	1	8	8.4173835
10	6	2	8	95.703892
10	6	3	8	110.1242975
10	6	4	2	224.338608
10	6	5	14	77.7993525
10	6	6	8	88.909111
10	6	7	19	4.9041725
10	6	8	14	104.2528805
10	6	9	8	62.0526105
10	6	10	17	17.4321355
10	7	1	8	35.7442135
10	7	2	0	NA
10	7	3	8	72.2445545
10	7	4	11	76.6984685
10	7	5	4	33.789942
10	7	6	8	84.7885195
10	7	7	18	43.5423025
10	7	8	3	31.595046
10	7	9	7	33.549666
10	7	10	18	77.2778
10	8	1	1	221.185597
10	8	2	9	132.5825285
