Clone	Target	Chromosome	Position	Bad_P	Log2Rat	RawRat	Log2StdDev	NReplic	FISH_2	FISH	WI_cR	WI_cM	WI-RH	G3	GB4	cM_MGD	CM	MARKER_NAMES	MAP_SOURCE	MAPPING_NAME	DNASOURCE_DESCRIPTION	CLONENOTES	KB_POSITION	WELL_ID	USER_CLONE_ID
RP11-114K16	HumArray1H3_G28	1	51	0	-0.008772	0.993938	0.001656	3	1	1p22-31							106.7	AFM294WG1	fishClones.txt	RP11-114K16	MSD7		86736	HumArray1H3_G28	RP11-114K16
RP11-80G24	HumArray1H3_W29	1	52	0	-0.085890	0.942203	0.039591	2	.3	1p31.1-1p31.2				3765			107.2	AFM338WB5;D1S499	fishClones.txt	RP11-80G24	MSD13		89844	HumArray1H3_W29	RP11-80G24
RP11-198H14	HumArray1H3_G29	1	53	0	0.014472	1.010082	1000000.000000	1		1p31-32				3853	212.2		109.6	AFMA056XC9;D1S2876	fishClones.txt	RP11-198H14	MSD7		91115	HumArray1H3_G29	RP11-198H14
RP11-267M21	HumArray1H3_W30	1	54	0	-0.081841	0.944851	1000000.000000	1		1p22-31				3897	215.97		110.9	AFM343VF9;D1S500	fishClones.txt	RP11-267M21	MSD13		92524	HumArray1H3_W30	RP11-267M21
RP11-89A19	HumArray1H3_G30	1	55	0	0.017292	1.012058	1000000.000000	1		1p31							113	AFM210VC9	fishClones.txt	RP11-89A19	MSD7		93737	HumArray1H3_G30	RP11-89A19
RP11-246O4	HumArray1H3_W33	1	56	0	-0.029353	0.979859	0.025723	2	5.97	1p22							119.2	AFMC008YC5	fishClones.txt	RP11-246O4	MSD13		95855	HumArray1H3_W33	RP11-246O4
RP11-78E18	HumArray1H3_W31	1	57	0	-0.041660	0.971536	1000000.000000	1	-31	1p31.1				4128	233.4		118.1	AFM299ZE9;D1S488	fishClones.txt	RP11-78E18	MSD13		95883	HumArray1H3_W31	RP11-78E18
RP11-6B16	HumArray1H5_L18	1	58	1				0	4	1p22				3994	229.2		117.6	AFM116XB2;D1S207	INTERPOL_CM		MSD3		96350	HumArray1H5_L18	RP11-6B16
RP11-254E16	HumArray1H3_W32	1	59	0	-0.092455	0.937926	0.006961	3		1p22					236.65		119.1	AFMA081XE9;D1S2889	fishClones.txt	RP11-254E16	MSD13		97869	HumArray1H3_W32	RP11-254E16
RP11-211D4	HumArray1H3_W34	1	60	0	-0.032881	0.977466	1000000.000000	1	.1	1p22							121.9	AFMB320YF1	stsMap.txt	AFMB320YF1	MSD13		99327	HumArray1H3_W34	RP11-211D4
RP11-125P20	HumArray1H3_W35	1	61	0	-0.046070	0.968571	1000000.000000	1		1p21				4242	247.62		123.9	AFMA050TA5;D1S2865	fishClones.txt	RP11-125P20	MSD13		101736	HumArray1H3_W35	RP11-125P20
CTD-2229N1	HumArray1H5_M24	1	62	0	-0.087180	0.941361	0.109981	3	247.62	1p31								SGC30223;TGFBR3	fishClones.txt	CTD-2229N1	MSD37		106143	HumArray1H5_M24	CTD-2229N1
RP11-156M23	HumArray1H3_G31	1	63	0	-0.021409	0.985270	0.025548	3	42	1p21-22					278.05		133	AFM200WF6;D1S2719	stsMap.txt	AFM200WF6	MSD7		111497	HumArray1H3_G31	RP11-156M23
RP11-138K16	HumArray1H3_X1	1	64	0	0.008679	1.006034	0.024259	3	1p21	1p21					287.15		135.1	AFMB324YG5;D1S2767	fishClones.txt	RP11-138K16	MSD15		115437	HumArray1H3_X1	RP11-138K16
RP11-156G15	HumArray1H3_X2	1	65	0	0.001100	1.000763	0.024224	3		1p13-21				4881	295.36		137.3	AFM168YB2;D1S223	stsMap.txt	AFM168YB2	MSD15		117481	HumArray1H3_X2	RP11-156G15
RP11-182H2	HumArray1H3_X3	1	66	0	0.049319	1.034777	0.009030	3	4881	1p21							137.6	AFM113XF6	fishClones.txt	RP11-182H2	MSD15		117557	HumArray1H3_X3	RP11-182H2
RP11-178M11	HumArray1H3_G32	1	67	0	0.000665	1.000461	0.020325	3	1p21	1p21					300.14		137.3	AFMA102WD9;D1S2896	fishClones.txt	RP11-178M11	MSD7		118072	HumArray1H3_G32	RP11-178M11
RP11-96F24	HumArray1H3_C6	1	68	0	-0.052277	0.964413	0.036386	3	p21	1p12-13				5107			146.6	AFM164XE1;D1S221	fishClones.txt	RP11-96F24	MSD5		127382	HumArray1H3_C6	RP11-96F24
CTD-2050A15	HumArray1H5_N1	1	69	0	-0.066830	0.954734	0.002585	3	.6	1p12								D1S3360;CSF1	stsMap.txt	WI-9116	MSD37		127587	HumArray1H5_N1	CTD-2050A15
RP11-260A24	HumArray1H3_X4	1	70	0	0.070645	1.050186	0.022796	3	1p12-13	1p12-13							147.8	AFM084XB3	fishClones.txt	RP11-260A24	MSD15		128196	HumArray1H3_X4	RP11-260A24
RP11-284N8	HumArray1H3_G33	1	71	0	-0.095546	0.935918	0.015954	3	1	1p12-13					352.1		149	AFMB032YD1;D1S2726	fishClones.txt	RP11-284N8	MSD7		128393	HumArray1H3_G33	RP11-284N8
RP11-150K20	HumArray1H3_X5	1	72	0	0.117487	1.084844	0.011320	3	.1	1p13							149	AFM277VH9	fishClones.txt	RP11-150K20	MSD15		128627	HumArray1H3_X5	RP11-150K20
RP11-82A16	HumArray1H3_X6	1	73	0	0.117693	1.084998	0.033725	3	-13	1p13				5172			151.2	AFM361TD9;D1S502	fishClones.txt	RP11-82A16	MSD15		129822	HumArray1H3_X6	RP11-82A16
RP11-72M14	HumArray1H3_X7	1	74	0	0.050705	1.035771	0.007787	2	-13	1p13				5318			152.2	AFM298VC5;D1S487	fishClones.txt	RP11-72M14	MSD15		130492	HumArray1H3_X7	RP11-72M14
RP11-254K1	HumArray1H3_X8	1	75	0	0.067998	1.048261	0.014632	3	1p21	1p13				5362	370.87		153.3	AFM240YG1;D1S250	fishClones.txt	RP11-254K1	MSD15		132571	HumArray1H3_X8	RP11-254K1
GS-249B10	HumArray1S1_B9	1	76	0	0.090400	1.064665	0.024782	3		1p13.2  								RH49649	stsMap.txt	WI-7614	MSD24		132794	HumArray1S1_E6	GS-249B10
GS-249B10	HumArray1S1_E6	1	76	0	0.023807	1.016638	0.014042	3		1p13.2  								RH49649	stsMap.txt	WI-7614	MSD24		132794	HumArray1S1_E6	GS-249B10
RP11-130B18	HumArray1H3_C7	1	78	0	0.001099	1.000762	0.024395	3	87	1p13							154.1	AFM277YF9	fishClones.txt	RP11-130B18	MSD5		133911	HumArray1H3_C7	RP11-130B18
RP11-192J8	HumArray1H3_X9	1	79	0	0.038011	1.026698	0.033582	3	87	1p12							156.1	AFMA226WA9	fishClones.txt	RP11-192J8	MSD15		136601	HumArray1H3_X9	RP11-192J8
RP11-29M22	HumArray1H3_X10	1	80	0	0.096460	1.069147	0.037004	3		1p11-12				5587	406.03		157.4	AFMA151ZA5;D1S514	fishClones.txt	RP11-29M22	MSD15		138278	HumArray1H3_X10	RP11-29M22
RP11-30I17	HumArray1H3_B23	1	81	0	0.020710	1.014459	0.037958	3		1q11-12				5863	512.36		159.6	AFM234ZD12;D1S442	fishClones.txt	RP11-30I17	MSD4		172581	HumArray1H3_B23	RP11-30I17
RP11-105E14	HumArray1H3_X11	1	82	0	0.055388	1.039139	0.028137	2		1q12							158.5	AFMA311WF5	fishClones.txt	RP11-105E14	MSD15		172595	HumArray1H3_X11	RP11-105E14
RP11-71L20	HumArray1H3_X12	1	83	0	0.115279	1.083185	0.013964	3	12	1q21							160.7	AFM336XB1	fishClones.txt	RP11-71L20	MSD15		179012	HumArray1H3_X12	RP11-71L20
CTD-2077L2	HumArray1H5_D25	1	84	0	-0.039577	0.972940	0.025906	2		1q21					553.76			A002Y06;PIK4CB	refflat.txt	PIK4CB	MSD31		179062	HumArray1H5_D25	CTD-2077L2
RP11-137M19	HumArray1H3_X13	1	85	0	0.011118	1.007736	0.015632	3	S	1q21-22				6038	570.6		170.1	AFMA133YE5;D1S2635	fishClones.txt	RP11-137M19	MSD15		188089	HumArray1H3_X13	RP11-137M19
RP11-97G24	HumArray1H3_X14	1	86	0	0.068920	1.048931	0.012213	3	1-22	1q21-22					580.02		172.8	AFMB334XB1;D1S2771	fishClones.txt	RP11-97G24	MSD15		189641	HumArray1H3_X14	RP11-97G24
RP11-8D14	HumArray1H3_G34	1	87	0	-0.020518	0.985879	0.031127	3	-22	1q21				6126	581.82		173.9	AFM297WB9;D1S484	fishClones.txt	RP11-8D14	MSD7		190033	HumArray1H3_G34	RP11-8D14
RP11-260G23	HumArray1H3_X15	1	88	0	0.098896	1.070954	0.020965	3		1q21-22							176.8	AFMB324ZD5	fishClones.txt	RP11-260G23	MSD15		192136	HumArray1H3_X15	RP11-260G23
CTD-2096I16	HumArray1H5_N2	1	89	0	-0.056504	0.961592	0.023067	2	-22	1q22								SHGC-36663;RGS5	fishClones.txt	CTD-2096I16	MSD37		192663	HumArray1H5_N2	CTD-2096I16
RP11-193J5	HumArray1H3_X16	1	90	0	0.061955	1.043880	0.028384	3	5	1q23							182.8	AFMA247XD1	INTERPOL_CM		MSD15		196233	HumArray1H3_X16	RP11-193J5
RP11-234M3	HumArray1H3_C8	1	91	0	0.044930	1.031633	0.034029	3	22	1q23							183.3	AFMA129ZF5	fishClones.txt	RP11-234M3	MSD5		197548	HumArray1H3_C8	RP11-234M3
RP11-28D10	HumArray1H3_X17	1	92	0	0.005477	1.003803	0.010777	3	22	1q22-23				6349	605.94		186.4	AFM063XG9;D1S196	fishClones.txt	RP11-28D10	MSD15		197936	HumArray1H3_X17	RP11-28D10
RP11-167M6	HumArray1H3_X18	1	93	0	0.035460	1.024883	0.011895	3	23	1q23				6358	607.16		187.2	AFM212XF6;D1S431	fishClones.txt	RP11-167M6	MSD15		198125	HumArray1H3_X18	RP11-167M6
RP11-249C5	HumArray1H3_G35	1	94	0	-0.016042	0.988942	0.018601	3		1q22-23							188.5	AFMB359XF5	fishClones.txt	RP11-249C5	MSD7		198425	HumArray1H3_G35	RP11-249C5
RP11-171H24	HumArray1H3_X19	1	95	0	0.073910	1.052565	0.009403	3		1q22-23					609.5		188.5	AFMA197WG1;D1S2658	fishClones.txt	RP11-171H24	MSD15		198587	HumArray1H3_X19	RP11-171H24
RP11-184N12	HumArray1H3_X20	1	96	0	0.112976	1.081457	0.025694	3	2-23	1q24				6538			193.1	AFM350YH1;D1S2851	fishClones.txt	RP11-184N12	MSD15		200490	HumArray1H3_X20	RP11-184N12
RP11-165A8	HumArray1H3_C9	1	97	0	0.019067	1.013304	0.021015	3	-23	1q23				6599	615.88		193.8	AFM122XA3;D1S210	fishClones.txt	RP11-165A8	MSD5		201260	HumArray1H3_C9	RP11-165A8
CTD-2084F3	HumArray1H5_D26	1	98	0	0.070729	1.050247	0.012593	3	615.88	1q24					623.4			U85257;MYOC	stsMap.txt	RH70712	MSD31		202123	HumArray1H5_D26	CTD-2084F3
RP11-177M16	HumArray1H3_B24	1	99	0	0.039601	1.027830	0.015958	3		1q24-25				6880	625.23		196.5	AFM212XB10;D1S242	fishClones.txt	RP11-177M16	MSD4		205490	HumArray1H3_B24	RP11-177M16
RP11-137N24	HumArray1H3_X21	1	100	0	0.013452	1.009368	0.018384	3	3	1q23-24							197	AFM185XD6	fishClones.txt	RP11-137N24	MSD15		206324	HumArray1H3_X21	RP11-137N24
RP11-4J2	HumArray1H5_L19	1	101	0	0.068788	1.048835	0.068060	3	q24-25	1q23				7011	628.43		197.8	AFMB350XA5;D1S2786	fishClones.txt	RP11-4J2	MSD3		208543	HumArray1H5_L19	RP11-4J2
RP11-196B7	HumArray1H3_H1	1	102	0	0.080021	1.057033	0.030581	3		1q25				7137	634.49		203	AFM275XE1;D1S466	fishClones.txt	RP11-196B7	MSD7		214392	HumArray1H3_H1	RP11-196B7
RP11-212K9	HumArray1H3_G36	1	103	0	0.060288	1.042674	0.013538	2	24-25	1q24-25					635.71		203	AFMA116YC5;D1S2623	fishClones.txt	RP11-212K9	MSD7		214962	HumArray1H3_G36	RP11-212K9
GS-229A1	HumArray1S1_A11	1	104	0	-0.028698	0.980305	0.028447	3		1q25-q31  								D1S2385	stsMap.txt	WI-7043	MSD24		215334	HumArray1S1_A11	GS-229A1
RP11-118P13	HumArray1H3_C10	1	105	0	0.079851	1.056909	0.041021	3		1q25-31				7247	639.37		204.4	AFM207VH8;D1S240	fishClones.txt	RP11-118P13	MSD5		217346	HumArray1H3_C10	RP11-118P13
RP11-162L13	HumArray1H3_X22	1	106	0	0.085608	1.061135	0.008096	3	37	1q25							205.1	AFM260XF1	fishClones.txt	RP11-162L13	MSD15		217908	HumArray1H3_X22	RP11-162L13
RP11-134C1	HumArray1H3_X23	1	107	0	0.111793	1.080571	0.008496	3	5	1q25							206.7	AFM205XG1	fishClones.txt	RP11-134C1	MSD15		220694	HumArray1H3_X23	RP11-134C1
RP11-154A22	HumArray1H3_X25	1	108	0	0.076166	1.054213	0.009220	3		1q25					654.4		213.2	AFMB354ZE1;D1S2794	stsMap.txt	AFMB354ZE1	MSD15		228185	HumArray1H3_X25	RP11-154A22
RP11-249C10	HumArray1H3_X26	1	109	0	0.048933	1.034500	0.060916	3		1q31.3				7682	663.83		218.2	AFMA116WG1;D1S2622	fishClones.txt	RP11-249C10	MSD15		233598	HumArray1H3_X26	RP11-249C10
RP11-150L7	HumArray1H3_X27	1	110	0	0.082029	1.058506	0.005715	2		1q25							219.2	AFM289YE9	fishClones.txt	RP11-150L7	MSD15		234629	HumArray1H3_X27	RP11-150L7
RP11-246J15	HumArray1H3_X28	1	111	0	0.053290	1.037628	0.027626	3	3.83	1q31							220.8	AFMA044ZH1	fishClones.txt	RP11-246J15	MSD15		236134	HumArray1H3_X28	RP11-246J15
RP11-65I22	HumArray1H3_C11	1	112	0	0.048704	1.034336	0.027510	3	3.83	1q31-32							221.2	AFMA275ZC5	fishClones.txt	RP11-65I22	MSD5		236456	HumArray1H3_C11	RP11-65I22
RP11-148K15	HumArray1H3_X29	1	113	0	-0.006999	0.995160	0.028367	2	3.83	1q31							222.7	AFMA123YF1	fishClones.txt	RP11-148K15	MSD15		238587	HumArray1H3_X29	RP11-148K15
RP11-243M13	HumArray1H5_L20	1	114	0	0.174217	1.128352	0.001931	3		1q31							224.5	AFMB334ZB1	fishClones.txt	RP11-243M13	MSD3		238934	HumArray1H5_L20	RP11-243M13
RP11-249H15	HumArray1H3_X30	1	115	0	0.012586	1.008762	0.003558	3	3	1q32.1				7959	681.05		224.6	AFM024XF8;D1S456	fishClones.txt	RP11-249H15	MSD15		239604	HumArray1H3_X30	RP11-249H15
RP11-219P13	HumArray1H3_X31	1	116	0	0.092309	1.066075	0.008480	3		1q31-32							225.1	AFM234WF6	fishClones.txt	RP11-219P13	MSD15		240040	HumArray1H3_X31	RP11-219P13
RP11-57I17	HumArray1H3_X32	1	117	0	0.129625	1.094009	0.021520	3	-32	1q32							227.3	AFMB347YA5	fishClones.txt	RP11-57I17	MSD15		241823	HumArray1H3_X32	RP11-57I17
RP11-45F21	HumArray1H3_X34	1	118	0	0.057836	1.040903	0.029659	3		1q32-41				8094	689.41		228.7	AFMA082WF9;D1S2891	fishClones.txt	RP11-45F21	MSD15		242872	HumArray1H3_X34	RP11-45F21
RP11-167J2	HumArray1H3_C12	1	119	0	0.062090	1.043977	0.014938	3	94	1q32				8118			232	AFM281YG1;D1S471	fishClones.txt	RP11-167J2	MSD5		244049	HumArray1H3_C12	RP11-167J2
RP11-104A2	HumArray1H5_I21	1	120	0	0.054815	1.038726	0.010356	3		1q32-41				8176			233.3	AFM108YA3;D1S205	fishClones.txt	RP11-104A2	MSD3		244477	HumArray1H5_I21	RP11-104A2
RP11-123O6	HumArray1H3_X35	1	121	0	0.149970	1.109547	0.012500	3	-41	1q32-41					694.76		235.3	AFMC011YD5;D1S2810	fishClones.txt	RP11-123O6	MSD15		245891	HumArray1H3_X35	RP11-123O6
RP11-216F1	HumArray1H3_B25	1	122	0	-0.019952	0.986266	0.024578	3	32-41	1q32.2				8225			235.3	AFM203ZB6;D1S425	fishClones.txt	RP11-216F1	MSD4		246595	HumArray1H3_B25	RP11-216F1
RP11-193P21	HumArray1H3_X36	1	123	0	0.055750	1.039399	0.004413	3		1q32.2				8248	696.88		235.8	AFM156XG7;D1S217	fishClones.txt	RP11-193P21	MSD15		247594	HumArray1H3_X36	RP11-193P21
RP11-74E6	HumArray1H4_A1	1	124	0	-0.004504	0.996883	0.011467	3	96.88	1q32-41							237.2	AFM199WH2	fishClones.txt	RP11-74E6	MSD15		249008	HumArray1H4_A1	RP11-74E6
