Clone	Target	Chromosome	Position	Bad_P	Log2Rat	RawRat	Log2StdDev	NReplic	FISH_2	FISH	WI_cR	WI_cM	WI-RH	G3	GB4	cM_MGD	CM	MARKER_NAMES	MAP_SOURCE	MAPPING_NAME	DNASOURCE_DESCRIPTION	CLONENOTES	KB_POSITION	WELL_ID	USER_CLONE_ID
RMC01P52	HumArray1S1_A1	1	34	0	-0.030491	0.979087	0.030458	3	14YC7									M19720	stsMap.txt	WI-7196	MSD24		45898	HumArray1S1_A1	RMC01P52
RP11-88O2	HumArray1H3_G24	1	35	0	-0.044656	0.969521	0.009350	3	089	1p34-35							74.3	AFM154XG11	fishClones.txt	RP11-88O2	MSD7		48883	HumArray1H3_G24	RP11-88O2
RP11-253M24	HumArray1H3_C3	1	36	0	-0.039305	0.973123	0.009348	3	p34.1	1p33-34				2434			77.6	AFM248TF9;D1S451	fishClones.txt	RP11-253M24	MSD5		52776	HumArray1H3_C3	RP11-253M24
RP11-235B24	HumArray1H3_W21	1	37	0	-0.072964	0.950683	0.008098	3		1p32				2516	148.28		78.3	AFM073XE9;D1S197	stsMap.txt	AFM073XE9	MSD13		57988	HumArray1H3_W21	RP11-235B24
RP11-195G13	HumArray1H3_W22	1	38	0	0.023669	1.016542	0.028362	2	35	1p32				2644	152.67		80.2	AFMA203YE9;D1S2661	fishClones.txt	RP11-195G13	MSD13		62706	HumArray1H3_W22	RP11-195G13
RP11-55M23	HumArray1H3_G25	1	39	0	-0.012063	0.991674	0.015392	2		1p33-34							82.6	AFMA184XE1	stsMap.txt	AFMA184XE1	MSD7		63850	HumArray1H3_G25	RP11-55M23
RP11-149K24	HumArray1H3_W23	1	40	0	0.066386	1.047091	0.013178	3	p32	1p32.1				2755			87.7	AFMA050ZC5;D1S2867	fishClones.txt	RP11-149K24	MSD13		66394	HumArray1H3_W23	RP11-149K24
RP11-12L18	HumArray1H5_L17	1	41	0	-0.027658	0.981011	0.032066	3		1p31-32							88.8	AFMA183ZD9	stsMap.txt	AFMA183ZD9	MSD3		67469	HumArray1H5_L17	RP11-12L18
CTD-2001C15	HumArray1H5_G22	1	42	0	0.227032	1.170424	1000000.000000	1		1q31.3					166.58			H59127;JUN	stsMap.txt	RH68524	MSD32		68255	HumArray1H5_G22	CTD-2001C15
RP11-8F24	HumArray1H3_W25	1	43	0	0.110301	1.079453	0.022274	3	32	1p32-33				3057	169.86		92.5	AFM095WC9;D1S203	fishClones.txt	RP11-8F24	MSD13		71280	HumArray1H3_W25	RP11-8F24
RP11-110A23	HumArray1H3_G26	1	44	0	0.012335	1.008587	0.010375	3	2-33	1p32				3062			93.8	AFM288ZG1;D1S2822	fishClones.txt	RP11-110A23	MSD7		71371	HumArray1H3_G26	RP11-110A23
RP11-69G14	HumArray1H3_C4	1	45	0	0.055230	1.039025	0.018853	3		1p31							97.4	AFM197XB6	fishClones.txt	RP11-69G14	MSD5		72356	HumArray1H3_C4	RP11-69G14
RP11-30A5	HumArray1H3_G27	1	46	0	0.098947	1.070992	0.037039	3		1p32							98.2	AFM220YC7	fishClones.txt	RP11-30A5	MSD7		73868	HumArray1H3_G27	RP11-30A5
RP11-265C4	HumArray1H3_W27	1	47	0	0.155193	1.113570	0.016856	3	062	1p32							99.4	AFMA152YG9	fishClones.txt	RP11-265C4	MSD13		74532	HumArray1H3_W27	RP11-265C4
RP11-246N19	HumArray1H3_W26	1	48	0	0.080751	1.057568	0.021808	3	ES	1p31.2-1p31.3				3201			99.2	AFMA112ZD5;D1S2617	fishClones.txt	RP11-246N19	MSD13		74649	HumArray1H3_W26	RP11-246N19
CTD-2010C4	HumArray1H5_D24	1	49	0	0.051779	1.036542	0.017073	3		1p32.3								D1S2825;JAK1	fishClones.txt	CTD-2010C4	MSD31		75544	HumArray1H5_D24	CTD-2010C4
RP11-111N18	HumArray1H3_C5	1	50	0	-0.025950	0.982173	0.049434	3		1p32							103.3	AFM161XB2	fishClones.txt	RP11-111N18	MSD5		80266	HumArray1H3_C5	RP11-111N18
RP11-114K16	HumArray1H3_G28	1	51	0	0.089211	1.063788	0.037069	3	1	1p22-31							106.7	AFM294WG1	fishClones.txt	RP11-114K16	MSD7		86736	HumArray1H3_G28	RP11-114K16
RP11-80G24	HumArray1H3_W29	1	52	0	-0.068334	0.953738	0.003843	3	.3	1p31.1-1p31.2				3765			107.2	AFM338WB5;D1S499	fishClones.txt	RP11-80G24	MSD13		89844	HumArray1H3_W29	RP11-80G24
RP11-198H14	HumArray1H3_G29	1	53	0	-0.003141	0.997825	0.066277	2		1p31-32				3853	212.2		109.6	AFMA056XC9;D1S2876	fishClones.txt	RP11-198H14	MSD7		91115	HumArray1H3_G29	RP11-198H14
RP11-267M21	HumArray1H3_W30	1	54	0	-0.043114	0.970558	0.023491	3		1p22-31				3897	215.97		110.9	AFM343VF9;D1S500	fishClones.txt	RP11-267M21	MSD13		92524	HumArray1H3_W30	RP11-267M21
RP11-89A19	HumArray1H3_G30	1	55	0	-0.057530	0.960908	0.062648	2		1p31							113	AFM210VC9	fishClones.txt	RP11-89A19	MSD7		93737	HumArray1H3_G30	RP11-89A19
RP11-246O4	HumArray1H3_W33	1	56	0	-0.027847	0.980883	0.010374	2	5.97	1p22							119.2	AFMC008YC5	fishClones.txt	RP11-246O4	MSD13		95855	HumArray1H3_W33	RP11-246O4
RP11-78E18	HumArray1H3_W31	1	57	0	0.010218	1.007107	0.026241	3	-31	1p31.1				4128	233.4		118.1	AFM299ZE9;D1S488	fishClones.txt	RP11-78E18	MSD13		95883	HumArray1H3_W31	RP11-78E18
RP11-6B16	HumArray1H5_L18	1	58	0	0.091717	1.065638	0.016633	3	4	1p22				3994	229.2		117.6	AFM116XB2;D1S207	INTERPOL_CM		MSD3		96350	HumArray1H5_L18	RP11-6B16
RP11-254E16	HumArray1H3_W32	1	59	0	-0.071305	0.951777	0.012600	3		1p22					236.65		119.1	AFMA081XE9;D1S2889	fishClones.txt	RP11-254E16	MSD13		97869	HumArray1H3_W32	RP11-254E16
RP11-211D4	HumArray1H3_W34	1	60	0	0.070239	1.049891	1000000.000000	1	.1	1p22							121.9	AFMB320YF1	stsMap.txt	AFMB320YF1	MSD13		99327	HumArray1H3_W34	RP11-211D4
RP11-125P20	HumArray1H3_W35	1	61	0	0.031642	1.022175	0.006454	3		1p21				4242	247.62		123.9	AFMA050TA5;D1S2865	fishClones.txt	RP11-125P20	MSD13		101736	HumArray1H3_W35	RP11-125P20
CTD-2229N1	HumArray1H5_M24	1	62	0	-0.196020	0.872956	0.032979	3	247.62	1p31								SGC30223;TGFBR3	fishClones.txt	CTD-2229N1	MSD37		106143	HumArray1H5_M24	CTD-2229N1
RP11-156M23	HumArray1H3_G31	1	63	0	0.076649	1.054566	0.014419	3	42	1p21-22					278.05		133	AFM200WF6;D1S2719	stsMap.txt	AFM200WF6	MSD7		111497	HumArray1H3_G31	RP11-156M23
RP11-138K16	HumArray1H3_X1	1	64	0	0.030822	1.021594	0.014321	3	1p21	1p21					287.15		135.1	AFMB324YG5;D1S2767	fishClones.txt	RP11-138K16	MSD15		115437	HumArray1H3_X1	RP11-138K16
RP11-156G15	HumArray1H3_X2	1	65	0	0.109219	1.078644	0.019206	3		1p13-21				4881	295.36		137.3	AFM168YB2;D1S223	stsMap.txt	AFM168YB2	MSD15		117481	HumArray1H3_X2	RP11-156G15
RP11-182H2	HumArray1H3_X3	1	66	0	0.141472	1.103030	0.021526	2	4881	1p21							137.6	AFM113XF6	fishClones.txt	RP11-182H2	MSD15		117557	HumArray1H3_X3	RP11-182H2
RP11-178M11	HumArray1H3_G32	1	67	0	0.025744	1.018004	0.011309	3	1p21	1p21					300.14		137.3	AFMA102WD9;D1S2896	fishClones.txt	RP11-178M11	MSD7		118072	HumArray1H3_G32	RP11-178M11
RP11-96F24	HumArray1H3_C6	1	68	0	0.019462	1.013581	0.008044	3	p21	1p12-13				5107			146.6	AFM164XE1;D1S221	fishClones.txt	RP11-96F24	MSD5		127382	HumArray1H3_C6	RP11-96F24
CTD-2050A15	HumArray1H5_N1	1	69	0	-0.018205	0.987460	0.023246	3	.6	1p12								D1S3360;CSF1	stsMap.txt	WI-9116	MSD37		127587	HumArray1H5_N1	CTD-2050A15
RP11-260A24	HumArray1H3_X4	1	70	0	0.051706	1.036490	0.024591	3	1p12-13	1p12-13							147.8	AFM084XB3	fishClones.txt	RP11-260A24	MSD15		128196	HumArray1H3_X4	RP11-260A24
RP11-284N8	HumArray1H3_G33	1	71	0	-0.003237	0.997759	0.015649	3	1	1p12-13					352.1		149	AFMB032YD1;D1S2726	fishClones.txt	RP11-284N8	MSD7		128393	HumArray1H3_G33	RP11-284N8
RP11-150K20	HumArray1H3_X5	1	72	0	0.000539	1.000374	0.034925	3	.1	1p13							149	AFM277VH9	fishClones.txt	RP11-150K20	MSD15		128627	HumArray1H3_X5	RP11-150K20
RP11-82A16	HumArray1H3_X6	1	73	0	0.173699	1.127947	0.021429	3	-13	1p13				5172			151.2	AFM361TD9;D1S502	fishClones.txt	RP11-82A16	MSD15		129822	HumArray1H3_X6	RP11-82A16
RP11-72M14	HumArray1H3_X7	1	74	0	0.123614	1.089461	0.017496	3	-13	1p13				5318			152.2	AFM298VC5;D1S487	fishClones.txt	RP11-72M14	MSD15		130492	HumArray1H3_X7	RP11-72M14
RP11-254K1	HumArray1H3_X8	1	75	0	0.049140	1.034648	0.004071	3	1p21	1p13				5362	370.87		153.3	AFM240YG1;D1S250	fishClones.txt	RP11-254K1	MSD15		132571	HumArray1H3_X8	RP11-254K1
GS-249B10	HumArray1S1_B9	1	76	0	-0.001359	0.999058	0.032253	2		1p13.2  								RH49649	stsMap.txt	WI-7614	MSD24		132794	HumArray1S1_E6	GS-249B10
GS-249B10	HumArray1S1_E6	1	76	1				0		1p13.2  								RH49649	stsMap.txt	WI-7614	MSD24		132794	HumArray1S1_E6	GS-249B10
RP11-130B18	HumArray1H3_C7	1	78	0	0.053745	1.037956	0.010984	3	87	1p13							154.1	AFM277YF9	fishClones.txt	RP11-130B18	MSD5		133911	HumArray1H3_C7	RP11-130B18
RP11-192J8	HumArray1H3_X9	1	79	0	0.060683	1.042960	0.004651	3	87	1p12							156.1	AFMA226WA9	fishClones.txt	RP11-192J8	MSD15		136601	HumArray1H3_X9	RP11-192J8
RP11-29M22	HumArray1H3_X10	1	80	0	0.172189	1.126767	0.029277	3		1p11-12				5587	406.03		157.4	AFMA151ZA5;D1S514	fishClones.txt	RP11-29M22	MSD15		138278	HumArray1H3_X10	RP11-29M22
RP11-30I17	HumArray1H3_B23	1	81	0	-0.018492	0.987264	0.059629	3		1q11-12				5863	512.36		159.6	AFM234ZD12;D1S442	fishClones.txt	RP11-30I17	MSD4		172581	HumArray1H3_B23	RP11-30I17
RP11-105E14	HumArray1H3_X11	1	82	0	0.089099	1.063706	0.015227	3		1q12							158.5	AFMA311WF5	fishClones.txt	RP11-105E14	MSD15		172595	HumArray1H3_X11	RP11-105E14
RP11-71L20	HumArray1H3_X12	1	83	0	0.184659	1.136548	0.019819	3	12	1q21							160.7	AFM336XB1	fishClones.txt	RP11-71L20	MSD15		179012	HumArray1H3_X12	RP11-71L20
CTD-2077L2	HumArray1H5_D25	1	84	0	-0.121907	0.918972	0.052907	3		1q21					553.76			A002Y06;PIK4CB	refflat.txt	PIK4CB	MSD31		179062	HumArray1H5_D25	CTD-2077L2
RP11-137M19	HumArray1H3_X13	1	85	0	0.019081	1.013313	0.003347	2	S	1q21-22				6038	570.6		170.1	AFMA133YE5;D1S2635	fishClones.txt	RP11-137M19	MSD15		188089	HumArray1H3_X13	RP11-137M19
RP11-97G24	HumArray1H3_X14	1	86	0	0.119590	1.086426	0.015151	3	1-22	1q21-22					580.02		172.8	AFMB334XB1;D1S2771	fishClones.txt	RP11-97G24	MSD15		189641	HumArray1H3_X14	RP11-97G24
RP11-8D14	HumArray1H3_G34	1	87	0	0.011913	1.008291	0.060634	3	-22	1q21				6126	581.82		173.9	AFM297WB9;D1S484	fishClones.txt	RP11-8D14	MSD7		190033	HumArray1H3_G34	RP11-8D14
RP11-260G23	HumArray1H3_X15	1	88	0	0.175107	1.129048	0.022323	3		1q21-22							176.8	AFMB324ZD5	fishClones.txt	RP11-260G23	MSD15		192136	HumArray1H3_X15	RP11-260G23
CTD-2096I16	HumArray1H5_N2	1	89	0	-0.032344	0.977830	0.010412	3	-22	1q22								SHGC-36663;RGS5	fishClones.txt	CTD-2096I16	MSD37		192663	HumArray1H5_N2	CTD-2096I16
RP11-193J5	HumArray1H3_X16	1	90	0	0.078093	1.055622	0.022780	3	5	1q23							182.8	AFMA247XD1	INTERPOL_CM		MSD15		196233	HumArray1H3_X16	RP11-193J5
RP11-234M3	HumArray1H3_C8	1	91	0	-0.086194	0.942005	0.025482	3	22	1q23							183.3	AFMA129ZF5	fishClones.txt	RP11-234M3	MSD5		197548	HumArray1H3_C8	RP11-234M3
RP11-28D10	HumArray1H3_X17	1	92	0	0.001605	1.001113	0.007712	3	22	1q22-23				6349	605.94		186.4	AFM063XG9;D1S196	fishClones.txt	RP11-28D10	MSD15		197936	HumArray1H3_X17	RP11-28D10
RP11-167M6	HumArray1H3_X18	1	93	0	-0.001499	0.998961	0.037229	3	23	1q23				6358	607.16		187.2	AFM212XF6;D1S431	fishClones.txt	RP11-167M6	MSD15		198125	HumArray1H3_X18	RP11-167M6
RP11-249C5	HumArray1H3_G35	1	94	0	0.073371	1.052172	0.035472	3		1q22-23							188.5	AFMB359XF5	fishClones.txt	RP11-249C5	MSD7		198425	HumArray1H3_G35	RP11-249C5
RP11-171H24	HumArray1H3_X19	1	95	0	0.106995	1.076982	0.081968	3		1q22-23					609.5		188.5	AFMA197WG1;D1S2658	fishClones.txt	RP11-171H24	MSD15		198587	HumArray1H3_X19	RP11-171H24
RP11-184N12	HumArray1H3_X20	1	96	0	0.135359	1.098366	0.009271	3	2-23	1q24				6538			193.1	AFM350YH1;D1S2851	fishClones.txt	RP11-184N12	MSD15		200490	HumArray1H3_X20	RP11-184N12
RP11-165A8	HumArray1H3_C9	1	97	0	-0.034881	0.976113	0.021528	3	-23	1q23				6599	615.88		193.8	AFM122XA3;D1S210	fishClones.txt	RP11-165A8	MSD5		201260	HumArray1H3_C9	RP11-165A8
CTD-2084F3	HumArray1H5_D26	1	98	0	0.044952	1.031649	0.037328	3	615.88	1q24					623.4			U85257;MYOC	stsMap.txt	RH70712	MSD31		202123	HumArray1H5_D26	CTD-2084F3
RP11-177M16	HumArray1H3_B24	1	99	0	-0.010538	0.992722	0.043562	2		1q24-25				6880	625.23		196.5	AFM212XB10;D1S242	fishClones.txt	RP11-177M16	MSD4		205490	HumArray1H3_B24	RP11-177M16
RP11-137N24	HumArray1H3_X21	1	100	0	0.053380	1.037693	0.005695	3	3	1q23-24							197	AFM185XD6	fishClones.txt	RP11-137N24	MSD15		206324	HumArray1H3_X21	RP11-137N24
RP11-4J2	HumArray1H5_L19	1	101	1				0	q24-25	1q23				7011	628.43		197.8	AFMB350XA5;D1S2786	fishClones.txt	RP11-4J2	MSD3		208543	HumArray1H5_L19	RP11-4J2
RP11-196B7	HumArray1H3_H1	1	102	0	-0.016317	0.988754	0.018010	2		1q25				7137	634.49		203	AFM275XE1;D1S466	fishClones.txt	RP11-196B7	MSD7		214392	HumArray1H3_H1	RP11-196B7
RP11-212K9	HumArray1H3_G36	1	103	0	0.054295	1.038352	0.032652	3	24-25	1q24-25					635.71		203	AFMA116YC5;D1S2623	fishClones.txt	RP11-212K9	MSD7		214962	HumArray1H3_G36	RP11-212K9
GS-229A1	HumArray1S1_A11	1	104	0	-0.114341	0.923804	0.008445	3		1q25-q31  								D1S2385	stsMap.txt	WI-7043	MSD24		215334	HumArray1S1_A11	GS-229A1
RP11-118P13	HumArray1H3_C10	1	105	0	-0.059599	0.959531	0.013673	3		1q25-31				7247	639.37		204.4	AFM207VH8;D1S240	fishClones.txt	RP11-118P13	MSD5		217346	HumArray1H3_C10	RP11-118P13
RP11-162L13	HumArray1H3_X22	1	106	0	0.134566	1.097762	0.019171	3	37	1q25							205.1	AFM260XF1	fishClones.txt	RP11-162L13	MSD15		217908	HumArray1H3_X22	RP11-162L13
RP11-134C1	HumArray1H3_X23	1	107	0	0.223949	1.167926	0.004708	3	5	1q25							206.7	AFM205XG1	fishClones.txt	RP11-134C1	MSD15		220694	HumArray1H3_X23	RP11-134C1
RP11-154A22	HumArray1H3_X25	1	108	0	0.041657	1.029295	0.023503	3		1q25					654.4		213.2	AFMB354ZE1;D1S2794	stsMap.txt	AFMB354ZE1	MSD15		228185	HumArray1H3_X25	RP11-154A22
RP11-249C10	HumArray1H3_X26	1	109	0	0.079343	1.056537	0.004943	3		1q31.3				7682	663.83		218.2	AFMA116WG1;D1S2622	fishClones.txt	RP11-249C10	MSD15		233598	HumArray1H3_X26	RP11-249C10
RP11-150L7	HumArray1H3_X27	1	110	0	0.133918	1.097269	0.004372	3		1q25							219.2	AFM289YE9	fishClones.txt	RP11-150L7	MSD15		234629	HumArray1H3_X27	RP11-150L7
RP11-246J15	HumArray1H3_X28	1	111	0	0.083859	1.059849	0.009883	3	3.83	1q31							220.8	AFMA044ZH1	fishClones.txt	RP11-246J15	MSD15		236134	HumArray1H3_X28	RP11-246J15
RP11-65I22	HumArray1H3_C11	1	112	0	-0.157900	0.896329	0.019519	3	3.83	1q31-32							221.2	AFMA275ZC5	fishClones.txt	RP11-65I22	MSD5		236456	HumArray1H3_C11	RP11-65I22
RP11-148K15	HumArray1H3_X29	1	113	0	-0.016140	0.988875	0.018790	3	3.83	1q31							222.7	AFMA123YF1	fishClones.txt	RP11-148K15	MSD15		238587	HumArray1H3_X29	RP11-148K15
RP11-243M13	HumArray1H5_L20	1	114	1				0		1q31							224.5	AFMB334ZB1	fishClones.txt	RP11-243M13	MSD3		238934	HumArray1H5_L20	RP11-243M13
RP11-249H15	HumArray1H3_X30	1	115	0	0.107396	1.077282	0.015279	3	3	1q32.1				7959	681.05		224.6	AFM024XF8;D1S456	fishClones.txt	RP11-249H15	MSD15		239604	HumArray1H3_X30	RP11-249H15
RP11-219P13	HumArray1H3_X31	1	116	0	0.155067	1.113473	0.028771	3		1q31-32							225.1	AFM234WF6	fishClones.txt	RP11-219P13	MSD15		240040	HumArray1H3_X31	RP11-219P13
RP11-57I17	HumArray1H3_X32	1	117	0	0.187491	1.138781	0.017342	3	-32	1q32							227.3	AFMB347YA5	fishClones.txt	RP11-57I17	MSD15		241823	HumArray1H3_X32	RP11-57I17
RP11-45F21	HumArray1H3_X34	1	118	0	0.025917	1.018126	0.032889	3		1q32-41				8094	689.41		228.7	AFMA082WF9;D1S2891	fishClones.txt	RP11-45F21	MSD15		242872	HumArray1H3_X34	RP11-45F21
RP11-167J2	HumArray1H3_C12	1	119	0	-0.078024	0.947354	0.009317	3	94	1q32				8118			232	AFM281YG1;D1S471	fishClones.txt	RP11-167J2	MSD5		244049	HumArray1H3_C12	RP11-167J2
RP11-104A2	HumArray1H5_I21	1	120	0	-0.020588	0.985831	0.045743	3		1q32-41				8176			233.3	AFM108YA3;D1S205	fishClones.txt	RP11-104A2	MSD3		244477	HumArray1H5_I21	RP11-104A2
RP11-123O6	HumArray1H3_X35	1	121	0	0.173273	1.127613	0.002256	2	-41	1q32-41					694.76		235.3	AFMC011YD5;D1S2810	fishClones.txt	RP11-123O6	MSD15		245891	HumArray1H3_X35	RP11-123O6
RP11-216F1	HumArray1H3_B25	1	122	0	0.031455	1.022042	0.002489	2	32-41	1q32.2				8225			235.3	AFM203ZB6;D1S425	fishClones.txt	RP11-216F1	MSD4		246595	HumArray1H3_B25	RP11-216F1
RP11-193P21	HumArray1H3_X36	1	123	0	0.072503	1.051540	0.008892	3		1q32.2				8248	696.88		235.8	AFM156XG7;D1S217	fishClones.txt	RP11-193P21	MSD15		247594	HumArray1H3_X36	RP11-193P21
RP11-74E6	HumArray1H4_A1	1	124	0	0.021662	1.015129	0.027790	3	96.88	1q32-41							237.2	AFM199WH2	fishClones.txt	RP11-74E6	MSD15		249008	HumArray1H4_A1	RP11-74E6
